Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
1,Aragonit,1.9584,1.5791,2,3.76,1.56,1.1762,2.2191,177.05,0.6,1.4,155.39,158.34,162.25,True,corner,0.67212781333587,0.162288903043718,1.66502295527971,0.509838910292151
2,Aragonit,5.0112,2.526,9,12.86,7.21,2.4983,1.9564,23.13,0.89,2.35,48.28,11.02,140.15,True,edge,1.61167540737429,0.915610500569291,2.00584397390225,0.696064906805001
3,Aragonit,0.3168,0.63511,1,16.18,0.36,0.861,3.6757,177.66,0.28,0.5,50.68,10.63,73.88,True,edge,-1.14948461904187,-0.149660774554406,0.36794425087108,-0.99982384448746
4,Aragonit,2.0736,1.6249,2,31.13,2.28,1.6451,2.0501,171.44,1,2.59,54.84,8.98,30.63,True,edge,0.729286227175818,0.497801172643238,1.26047048811622,0.231485054532581
5,Aragonit,1.2384,1.2557,4,44.23,4.95,1.3703,2.3818,97.517,1.01,2.97,80.58,10.6,60.44,True,edge,0.213820223853326,0.315029693970018,0.903743705757863,-0.101209470116693
6,Aragonit,1.5264,1.3941,3,49.38,3.89,1.0057,1.0409,57.243,0.45,1.56,83.38,11.4,174.13,True,edge,0.422912021711885,0.00568381646829771,1.51774883165954,0.417228205243587
7,Aragonit,18.374,4.8368,10,64.82,23.17,5.8436,2.9192,119.13,1.33,4.94,89.25,12.91,75.5,True,edge,2.91093662184927,1.76534704527622,3.14429461290985,1.14558957657305
8,Aragonit,12.355,3.9662,4,75.87,10.44,3.7451,1.7832,145.97,1.02,2.57,87.97,14.18,65.44,True,edge,2.51406083944057,1.32044831888238,3.29897733037836,1.1936125205582
9,Aragonit,0.3168,0.63511,2,76.36,1.55,0.72901,2.6351,144.15,0.25,0.57,87.98,14.17,128.64,True,edge,-1.14948461904187,-0.316067829646437,0.43456194016543,-0.833416789395429
10,Aragonit,1.1232,1.1959,4,82.46,1.9,1.1761,1.9345,160.76,0.48,1.47,88.55,15.31,0.57,True,edge,0.11618175428941,0.162203879874854,0.955020831561942,-0.0460221255854441
11,Aragonit,0.3744,0.69044,3,88.38,1.54,0.59724,1.4965,129.27,0.45,1.14,101.12,14.13,54.01,True,edge,-0.9824305343787,-0.515436236323674,0.626883664858348,-0.466994298055026
12,Aragonit,1.0368,1.149,3,93.44,2.06,0.89344,1.2094,6.4053,0.46,2.09,96.08,14.94,175.43,True,edge,0.0361390466158731,-0.112676098288239,1.16045845272206,0.148815144904112
