Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain	Area_Log	Major_Log	Minor	Minor_Log
32	Aragonite	1.1094	1.1885	0	282.17	1.92	0.94976	1.2772	138.38	0.82	0.97	110.43	57.12	141.23	True	edge	0.103819328638997	-0.0515459578832308	1.16808456873315	0.155365286522228
33	Aragonite	1.2019	1.237	1	322.08	2.31	1.0996	1.5804	79.357	0.86	1.4	78.08	58.44	132.61	True	edge	0.183903637976606	0.0949464773089535	1.09303383048381	0.0889571606676525
34	Aragonite	1.5717	1.4146	2	324.71	3.29	1.5649	2.4477	96.988	0.67	0.69	87.55	49.31	124.11	True	edge	0.452157836100147	0.447821924186989	1.00434532557991	0.00433591191315751
35	Aragonite	1.2019	1.237	1	328.31	0.92	1.1427	1.7066	161.26	0.73	0.99	76.51	56.45	129.9	True	edge	0.183903637976606	0.133393883170531	1.05180712347948	0.050509754806075
36	Aragonite	4.8998	2.4977	2	350.32	3.57	2.2917	1.6836	130.2	0.92	2.45	156.69	35.71	102.99	True	edge	1.58919438795704	0.829293900233287	2.13806344634987	0.759900487723755
37	Aragonite	24.684	5.6061	11	380.34	8.99	4.3013	1.1774	170.17	1.03	2.38	129.97	37.46	76.72	True	edge	3.20615526045882	1.45891730258974	5.73873015134959	1.74723795786908
38	Aragonite	3.7905	2.1969	3	392.54	1.93	2.0028	1.6623	178.19	0.9	1.85	133	72.13	48.7	True	edge	1.33249793651422	0.694546201473653	1.8926003594967	0.637951735040569
39	Aragonite	5.9168	2.7447	5	400.48	4.72	2.3652	1.4852	161.71	0.83	1.88	39	37.43	92.39	True	edge	1.77779576221067	0.860862584964538	2.50160662946051	0.916933177246131
40	Aragonite	3.0508	1.9709	2	405.82	1.36	2.2958	2.7137	166.98	0.7	1.51	18.63	34.26	110.82	True	edge	1.11540385130795	0.831081366649259	1.32886139907657	0.284322484658687
41	Aragonite	2.5886	1.8155	2	413.39	1.39	1.6827	1.7182	4.0921	0.46	1.24	43.16	39.35	145.72	True	edge	0.951117189026201	0.520399646200264	1.53836096749272	0.430717542825937
42	Aragonite	19.877	5.0307	6	426.23	7.92	4.4117	1.5381	80.75	0.98	2.11	98.23	42.78	120.16	True	edge	2.98956328440846	1.48426010270587	4.50551941428474	1.50530318170259
43	Aragonite	1.5717	1.4146	2	444.12	1	1.5512	2.4049	164.05	0.57	0.68	169.3	48.57	55.25	True	edge	0.452157836100147	0.439028824946305	1.01321557503868	0.0131290111538417
44	Aragonite	0.9245	1.0849	2	448.5	0.8	0.89773	1.3693	180	0.57	0.94	84.7	70.76	142.29	True	edge	-0.0785022281549575	-0.107885924041116	1.02981965624408	0.0293836958861585
45	Aragonite	13.868	4.202	7	457.98	3.75	4.742	2.5471	5.4076	1.15	2.43	16.35	134.45	117.51	True	edge	2.62958402782278	1.55645898764321	2.92450442851118	1.07312504017956
46	Aragonite	17.381	4.7042	7	478.01	4.61	4.5167	1.8437	177.42	1.43	3.08	4.38	136.67	120.09	True	edge	2.85537765558134	1.50778163870417	3.84816348218832	1.34759601687717
47	Aragonite	5.3621	2.6129	6	492.64	3.57	2.6204	2.0115	147.7	0.57	1.54	117.78	36.81	115.61	True	edge	1.67935568939742	0.963326977875584	2.04629064264998	0.716028711521832
48	Aragonite	0.9245	1.0849	2	498.2	1	0.86283	1.2649	90	0.44	1.67	121.71	147.19	122.84	True	edge	-0.0785022281549575	-0.147537594557012	1.07147410266217	0.069035366402055
49	Aragonite	1.017	1.1379	2	503.82	1.09	0.90041	1.2523	126.87	0.93	2.24	30.55	124.83	134.06	True	edge	0.0168571170664228	-0.1049050638362	1.12948545662531	0.121762180902622
50	Aragonite	5.3621	2.6129	6	507.33	5.93	2.4105	1.7021	98.256	0.6	1.89	19.6	133.44	126.71	True	edge	1.67935568939742	0.87983419486354	2.22447624974072	0.799521494533876
51	Aragonite	4.3451	2.3521	3	512.57	2.47	1.824	1.2027	163.09	0.51	1.72	65.16	75.71	145.58	True	edge	1.46904877341224	0.60103189165214	2.38218201754386	0.8680168817601
52	Aragonite	1.017	1.1379	3	517.64	1.82	1.247	2.4018	82.027	0.59	1.05	25.59	128.67	135.62	True	edge	0.0168571170664228	0.220740666697899	0.815557337610264	-0.203883549631477
53	Aragonite	4.9923	2.5212	3	520.44	4.96	2.4032	1.8173	68.289	0.63	1.62	163.95	40.06	60.76	True	edge	1.60789672541527	0.876801182587679	2.0773551930759	0.731095542827593
54	Aragonite	10.817	3.7111	7	526.58	5.39	4.0881	2.427	40.024	0.91	2.39	36.58	92.97	145.91	True	edge	2.38111897064815	1.40808031444175	2.64597245664245	0.973038656206405
55	Aragonite	6.9338	2.9712	6	536.2	7.6	3.4179	2.6465	64.916	0.8	1.67	40.03	122.24	171.3	True	edge	1.93640800346641	1.22902632739004	2.0286725767284	0.707381676076366
56	Aragonite	26.995	5.8627	7	547.65	9.95	4.9478	1.4245	83.642	1.15	2.77	85.98	174.92	55.6	True	edge	3.29565166367025	1.59894303334145	5.45596022474635	1.6967086303288
57	Aragonite	3.6056	2.1426	2	556.92	2.59	1.7664	1.3593	37.006	0.73	2.92	25.5	49.35	6.83	True	edge	1.2824881923943	0.568943577100639	2.04121376811594	0.713544615293662
58	Aragonite	2.7735	1.8792	2	563.3	2.4	1.5851	1.423	63.435	0.75	1.73	1.68	6.8	71.59	True	edge	1.02011006051315	0.46064749682171	1.74973187811495	0.559462563691442
59	Aragonite	3.3282	2.0585	2	577.78	1.44	2.253	2.3958	10.357	0.72	1.51	50.17	60.27	144.22	True	edge	1.20243161730711	0.812262661450107	1.47723035952064	0.390168955856999
60	Aragonite	10.17	3.5984	4	586.81	8.06	4.3923	2.9799	86.469	0.9	2.49	69.73	45.95	178.27	True	edge	2.31944221006047	1.47985300788541	2.31541561368759	0.83958920217506
61	Aragonite	8.0431	3.2001	2	598	8.33	3.9941	3.1155	112.73	1.32	2.75	67.27	56.36	2.64	True	edge	2.08481458101634	1.38481827223652	2.01374527427956	0.699996308779819
62	Aragonite	0.7396	0.97041	1	224.44	3.5	1.2507	1.6612	121.05	0.52	1.06	86.36	123.25	107.65	True	no	-0.301645779469167	0.223703394572724	0.591348844646998	-0.525349174041891
63	Aragonite	0.97072	1.1117	0	229.86	4.38	1.5882	2.0407	102.5	0.84	1.87	145.92	92.64	127.52	True	no	-0.0297172147881493	0.462601299478974	0.61120765646644	-0.492318514267123
64	Aragonite	2.0801	1.6274	3	246.2	4.91	2.2208	1.8621	127.13	0.53	1.08	121.28	92.07	132.65	True	no	0.732415969480645	0.797867491330348	0.936644452449568	-0.0654515218497031
65	Aragonite	1.2481	1.2606	2	361.52	3.93	1.3266	1.1074	94.495	0.68	1.04	156.72	50.47	55.34	True	no	0.221622394942271	0.282619278109319	0.940826172169456	-0.0609968831670476
66	Aragonite	0.78583	1.0003	4	365.35	4.12	1.5902	2.5273	81.046	0.62	1.72	81.84	41.89	111.75	True	no	-0.241014794933179	0.463859794485246	0.494170544585587	-0.704874589418425
67	Aragonite	0.5547	0.8404	4	369.17	3.5	1.562	3.4545	113.93	0.67	1.61	82.38	42.24	111.79	True	no	-0.589327851920948	0.445967051417494	0.355121638924456	-1.03529490333844
68	Aragonite	1.9877	1.5908	4	417.77	6.23	2.4295	2.3322	93.169	0.55	1.14	9.57	128.75	131.63	True	no	0.686978191414416	0.887685474863821	0.818151883103519	-0.200707283449404
69	Aragonite	3.698	2.1699	6	439.56	6.65	2.9445	1.8414	42.592	1.36	2.21	174.72	47.32	55.43	True	no	1.30779213296493	1.07993902340249	1.25590083205977	0.227853109562445
70	Aragonite	1.7565	1.4955	6	500.82	4.61	1.5446	1.0667	59.29	0.59	2.17	65.94	84.43	144.4	True	no	0.563323192723745	0.434764977153026	1.13718762139065	0.128558215570718
