Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
32,Aragonite,9.6491,3.5051,1,366.03,4.4,2.6795,1.1688,130.82,0.71,1.65,175.59,148.96,4.02,True,edge,2.26686464675281,0.985630209952768,3.60108229147229,1.28123443680004
33,Aragonite,1.0488,1.1556,1,403.2,1.1,0.93983,1.3229,153.43,0,0,69.87,71.5,61.49,True,edge,0.047646653467353,-0.0620562711374428,1.11594650096294,0.109702924604796
34,Aragonite,2.8318,1.8988,3,358.98,7.43,3.0835,2.637,93.144,0.47,1.19,169.95,110.48,174.51,True,no,1.04091255186873,1.12606531544941,0.918371979892979,-0.0851527635806771
35,Aragonite,3.1465,2.0015,3,7.67,8.17,3.326,2.7613,85.479,0.48,1.3,85.2,118.3,20.22,True,no,1.14629072398485,1.20177038077074,0.946031268791341,-0.0554796567858847
36,Aragonite,2.3598,1.7334,3,195.2,7,2.7562,2.5283,96.615,0.95,2,171.01,131.63,92.44,True,no,0.858576869683682,1.01385291945891,0.856178796894275,-0.155276049775226
37,Aragonite,0.62929,0.89512,2,22.08,4.33,0.99649,1.2393,55.278,0.77,1.04,57.67,48.16,14.68,True,no,-0.463163079247683,-0.00351617450257009,0.631506588124316,-0.459646904745113
38,Aragonite,0.52441,0.81713,2,33.3,4.3,0.92086,1.27,45,0.12,0.61,92.13,97.91,47.73,True,no,-0.645481457861749,-0.0824472629675321,0.569478530938471,-0.563034194894217
39,Aragonite,3.0416,1.9679,3,156.36,9.71,3.1165,2.5079,92.971,1.42,3.87,137.99,114.59,86.42,True,no,1.11238369275203,1.13671057726677,0.97596662923151,-0.0243268845147406
40,Aragonite,1.8879,1.5504,1,205.81,9.06,2.7538,3.1548,84.657,0.42,0.84,4.84,56.6,65.45,True,no,0.63546510021886,1.01298177602813,0.685561769191662,-0.377516675809275
41,Aragonite,0.8915,1.0654,1,405.12,4.47,1.267,1.4142,149.04,0.09,0.74,67.85,82.71,62.15,True,no,-0.114849841678942,0.236651901339002,0.703630623520126,-0.351501743017944
