Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain	Area_Log	Major_Log	Minor	Minor_Log
32	Aragonite	3.125	1.9947	1	215.48	2.68	1.8765	1.77	133.52	0.62	1.65	162.16	116.64	8.14	True	edge	1.13943428318836	0.629408339592939	1.66533439914735	0.510025943595426
33	Aragonite	1.875	1.5451	0	223.2	1.33	1.5136	1.9193	155.64	0.34	0.76	154.85	117.24	22.06	True	edge	0.628608659422374	0.414490919315477	1.23876849894292	0.214117740106897
34	Aragonite	2.125	1.6449	1	230.06	0.88	1.8051	2.4086	6.3718	0.42	1.06	151.56	106.27	20.28	True	edge	0.75377180237638	0.590615991912279	1.1772200986095	0.163155810464102
35	Aragonite	5.875	2.735	3	240.45	1.79	3.0607	2.5047	167.44	0.5	1.48	3.28	42.61	122.91	True	edge	1.77070606003022	1.11864364797306	1.91949554023589	0.652062412057159
36	Aragonite	4.75	2.4592	1	248.45	2.71	1.9744	1.2891	121.93	0.64	1.1	2.66	43.22	127.45	True	edge	1.55814461804655	0.680264554728932	2.40579416531605	0.877880063317618
37	Aragonite	2.375	1.7389	1	255	2.16	1.6062	1.7062	109.84	0.56	1.12	71.69	47.37	72.11	True	edge	0.864997437486605	0.473871140772225	1.47864524965758	0.39112629671438
38	Aragonite	1.875	1.5451	2	260.67	1.33	1.2863	1.386	40.514	0.66	1.17	175.57	127.91	30.75	True	edge	0.628608659422374	0.251769880102533	1.45766928399285	0.376838779319841
39	Aragonite	2.5	1.7841	2	270.3	3.55	2.0353	2.6029	123.53	0.84	1.4	6.41	44.66	134.28	True	edge	0.916290731874155	0.710643228176696	1.22832014936373	0.205647503697459
40	Aragonite	1.625	1.4384	2	272.46	1.46	1.5773	2.4048	132.99	0.68	1.46	91.71	33.49	63.82	True	edge	0.485507815781701	0.455714524511291	1.03024155201927	0.0297932912704096
41	Aragonite	5.625	2.6762	2	278.04	2.84	2.2255	1.383	150.03	0.76	1.71	84.81	29.18	71	True	edge	1.72722094809048	0.799981609473772	2.52752190518984	0.927239338616712
42	Aragonite	2.875	1.9133	1	285.39	2.39	1.7355	1.6455	121.99	0.62	0.85	60.08	32.6	88.24	True	edge	1.05605267424931	0.551295556319704	1.65658311725727	0.50475711792961
43	Aragonite	1.25	1.2616	1	296.5	1.5	1.3962	2.4495	135	0.32	0.71	107.99	55.08	65.99	True	edge	0.22314355131421	0.333754260554164	0.89528720813637	-0.110610709239954
44	Aragonite	1.25	1.2616	3	299.8	1.3	1.1414	1.637	71.778	0.34	1.06	25.73	50.44	117.33	True	edge	0.22314355131421	0.132255579120471	1.09514631154722	0.090887972193739
45	Aragonite	5	2.5231	5	306.45	2.63	2.3104	1.677	158.15	0.78	1.58	28.62	57.79	117.4	True	edge	1.6094379124341	0.83742066971637	2.16412742382271	0.77201724271773
46	Aragonite	3	1.9544	2	316.29	1.33	1.7789	1.657	168.95	0.25	0.53	7.1	48.96	132.08	True	edge	1.09861228866811	0.575995195749087	1.68643543763	0.522617092919023
47	Aragonite	2	1.5958	3	321.63	1.56	1.2617	1.2502	113.74	0.17	0.81	175.44	40.19	5.28	True	edge	0.693147180559945	0.232460017951559	1.58516287548546	0.460687162608387
48	Aragonite	1.5	1.382	1	327.67	0.92	1.2853	1.7299	1.3879	0.31	0.61	20.93	139.86	8.97	True	edge	0.405465108108164	0.250992154133949	1.16704271376332	0.154472953974215
49	Aragonite	1.875	1.5451	1	340.8	1.27	1.462	1.7906	29.035	0.59	1.43	8.87	110.84	176.52	True	edge	0.628608659422374	0.379805361327587	1.28248974008208	0.248803298094787
50	Aragonite	2.5	1.7841	3	349.3	0.9	2.196	3.0301	7.9162	0.97	1.81	9.26	110.45	177.39	True	edge	0.916290731874155	0.786637523647284	1.1384335154827	0.129653208226871
51	Aragonite	3.25	2.0342	3	356.35	1.69	1.7183	1.4271	13.464	0.65	1.72	5.97	162.28	176.64	True	edge	1.17865499634165	0.541335429970562	1.89140429494268	0.637319566371084
52	Aragonite	6.75	2.9316	4	369.57	3.59	3.1982	2.3802	133.77	1.24	2	139.66	45.24	36.14	True	edge	1.90954250488444	1.1625881515432	2.11056219123257	0.746954353341234
53	Aragonite	2.125	1.6449	1	400.94	1.12	1.5674	1.8159	172.12	0.69	1.88	18.69	36.28	151.93	True	edge	0.75377180237638	0.449418195636627	1.35574837310195	0.304353606739753
54	Aragonite	1.875	1.5451	2	405.27	2.07	1.3261	1.4733	117.55	0.5	1.08	133.8	42.58	62.67	True	edge	0.628608659422374	0.282242303701416	1.41392051881457	0.346366355720958
55	Aragonite	1.25	1.2616	1	408	1.2	1.23	1.9011	140.65	0.16	0.31	142.83	49.14	53.35	True	edge	0.22314355131421	0.207014169384326	1.01626016260163	0.0161293819298837
56	Aragonite	7.25	3.0383	5	496.41	10.67	4.8315	5.0575	100.17	1.01	2.64	86.72	118.6	6.47	True	edge	1.98100146886658	1.57515697845723	1.50056918141364	0.405844490409357
57	Aragonite	6.25	2.8209	3	499.34	5.18	2.9162	2.1374	99.5	1.2	2.17	77.81	55.27	6.8	True	edge	1.83258146374831	1.07028139890005	2.14320005486592	0.762300064848262
58	Aragonite	7	2.9854	3	507.11	3.27	2.8401	1.8101	8.0722	1.47	4.6	69.63	59.85	68.46	True	edge	1.94591014905531	1.04383926282082	2.46470194711454	0.902070886234495
59	Aragonite	2.125	1.6449	2	513.47	1.47	1.35	1.3471	131.07	0.37	1.15	82.98	55.37	63.92	True	edge	0.75377180237638	0.300104592450338	1.57407407407407	0.453667209926042
60	Aragonite	10.125	3.5905	3	520.63	6.19	3.4222	1.8169	130.11	0.67	1.49	128.88	128.29	49.55	True	edge	2.3150076129926	1.23028361911573	2.95862310794226	1.08472399387687
61	Aragonite	1.375	1.3231	1	524.27	0.73	1.2119	1.6779	170.01	0.27	0.93	24.41	38.71	72.59	True	edge	0.318453731118535	0.192189375992305	1.13458206122617	0.12626435512623
62	Aragonite	5.625	2.6762	3	535.56	3.58	2.3494	1.5414	83.562	0.76	2.26	63.48	48.86	39.17	True	edge	1.72722094809048	0.854159976407649	2.39422831361199	0.873060971682835
63	Aragonite	1.75	1.4927	3	539.71	2.5	1.6352	2.4001	90	0.65	1.43	107.43	83.59	29.32	True	edge	0.559615787935423	0.491765121027248	1.07020547945205	0.0678506669081744
64	Aragonite	2.25	1.6926	3	545.56	2.5	1.8161	2.3027	100.38	0.58	1.27	90.72	80.39	23.7	True	edge	0.810930216216329	0.596691344742316	1.23891856175321	0.214238871474013
65	Aragonite	4	2.2568	4	550.91	2.44	1.8425	1.3331	140.15	0.88	2.1	44.23	27.19	52.68	True	edge	1.38629436111989	0.611123345081355	2.17096336499322	0.775171016038536
66	Aragonite	8.625	3.3139	5	559.04	2.61	2.9423	1.5766	1.178	0.71	2.02	33.41	26.43	89.55	True	edge	2.15466496291742	1.07919158842851	2.93138021275873	1.07547337448892
67	Aragonite	4.625	2.4267	2	570.41	2.41	2.575	2.252	156.73	0.57	1.31	101.22	57.68	31.3	True	edge	1.53147637096439	0.945849534115699	1.79611650485437	0.585626836848689
