Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
32,Aragonite,6.66,2.912,3,312.84,3.49,2.8049,1.8556,69.375,0.57,1.28,76.24,137.56,25.79,True,edge,1.8961194845523,1.03136788771528,2.37441620022104,0.864751596837023
33,Aragonite,7.2,3.0278,6,317.7,3.72,3.8086,3.1647,46.676,1.47,2.49,23.71,28.92,34.56,True,edge,1.97408102602201,1.33726166754258,1.89045843617077,0.63681935847943
34,Aragonite,4.14,2.2959,4,324.7,1.91,1.9206,1.3995,51.696,0.42,1.11,94,148.47,35.11,True,edge,1.42069578783722,0.652637637221735,2.15557638238051,0.768058150615488
35,Aragonite,24.48,5.5829,8,326.26,9.91,8.9544,5.1449,55.368,0.79,2.98,53.14,10.07,1.78,True,edge,3.19785645764413,2.19214503159292,2.73385151433932,1.0057114260512
36,Aragonite,7.74,3.1392,4,339.28,2.88,2.6949,1.4739,147.15,0.65,2.23,150.85,24.91,43.46,True,edge,2.04640168760164,0.991361097921134,2.87209172882111,1.0550405896805
37,Aragonite,1.8,1.5139,2,343.1,0.7,1.3099,1.4974,169.54,0.4,1.22,12.45,124.16,173.07,True,edge,0.587786664902119,0.269950798421466,1.3741506985266,0.317835866480653
38,Aragonite,3.24,2.0311,3,347.44,1.39,1.7082,1.4146,177.21,0.64,1.23,119.89,8.07,75.66,True,edge,1.17557332980424,0.53544018452991,1.89673340358272,0.640133145274328
39,Aragonite,2.52,1.7912,3,351.64,1.36,1.4052,1.2308,18.215,0.22,0.57,19.85,61.71,171.8,True,edge,0.924258901523332,0.340179641409535,1.7933390264731,0.584079260113797
40,Aragonite,2.88,1.9149,4,356.5,0.88,1.9271,2.0255,180,0.48,0.91,122.12,8.3,73.91,True,edge,1.05779029414785,0.656016282221738,1.49447356130974,0.401774011926117
41,Aragonite,2.52,1.7912,2,361.57,0.93,1.8538,2.1421,14.872,0.41,0.74,6.59,37.21,30.02,True,edge,0.924258901523332,0.617237586459595,1.35936994282015,0.307021315063737
42,Aragonite,10.8,3.7082,6,363.78,3.7,3.7664,2.0633,28.231,0.61,1.92,57.47,145.77,31.88,True,edge,2.37954613413017,1.32611963808382,2.86745964316058,1.05342649604635
43,Aragonite,1.98,1.5878,3,370.91,1.36,1.3364,1.4169,74.929,0.59,0.97,27.15,97.53,25.22,True,edge,0.683096844706444,0.289979431500464,1.48159233762347,0.393117413205979
44,Aragonite,4.32,2.3453,2,386.17,3.63,2.5237,2.3158,62.807,0.45,1.46,42.45,62.61,16.68,True,edge,1.46325540225602,0.92572607866064,1.71177239767009,0.537529323595379
45,Aragonite,5.22,2.578,4,390.45,2.41,2.5543,1.9633,52.063,0.66,1.63,137.14,165.48,91.39,True,edge,1.65249740189455,0.937778213515578,2.04361273147242,0.714719188378969
46,Aragonite,3.96,2.2454,2,395.41,3.41,2.1568,1.8452,103.61,0.7,2.54,36.34,53.17,14.93,True,edge,1.37624402526639,0.768625641735851,1.83605341246291,0.607618383530538
47,Aragonite,2.52,1.7912,0,414.71,1.14,1.4648,1.3375,176.44,0.61,1.38,158.86,141.9,127.75,True,edge,0.924258901523332,0.381718714378164,1.7203713817586,0.542540187145168
48,Aragonite,1.44,1.3541,4,102.19,3.75,2.102,2.4098,64.63,0.63,0.76,35.75,73.86,71.79,True,no,0.364643113587909,0.742889272454759,0.685061845861085,-0.37824615886685
49,Aragonite,9.9,3.5504,9,114.45,10.17,4.2602,1.4399,107.34,1.7,3.98,9.8,66.92,82.27,True,no,2.29253475714054,1.44931610753605,2.32383456175766,0.843218649604497
