Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
3717	Aragonite	2.2599	1.6963	2	254.23	365.84	2.2421	1.747	91.93	0.61	2.14	128.36	40.48	144.43	True	no
3718	Aragonite	1.5309	1.3961	4	293.76	366.19	2.1547	2.3819	98.851	1.01	3.17	140.85	40.60	151.21	True	no
3719	Aragonite	1.3851	1.328	2	299.32	365.11	1.8345	1.9083	99.337	0.80	1.46	138.66	39.17	151.24	True	no
3720	Aragonite	0.8748	1.0554	2	306.33	362.92	1.2452	1.392	155.39	0.58	1.12	121.71	108.61	161.16	True	no
3721	Aragonite	0.729	0.96343	4	310.50	363.80	1.1946	1.5375	104.7	0.55	1.03	120.39	15.74	149.58	True	no
3722	Aragonite	1.0206	1.1399	3	346.50	365.79	2.0959	3.3804	91.51	0.67	1.28	99.40	54.55	174.96	True	no
3723	Aragonite	1.3122	1.2926	3	356.94	364.56	1.9716	2.3267	87.062	0.49	1.83	95.16	62.53	175.54	True	no
3724	Aragonite	3.2805	2.0437	4	365.93	365.07	2.205	1.1641	9.696	0.79	2.24	7.38	47.68	132.18	True	no
3725	Aragonite	0.729	0.96343	3	465.60	364.30	1.373	2.031	100.3	0.51	1.47	128.82	67.92	167.84	True	no
3726	Aragonite	1.1664	1.2186	2	75.50	364.25	1.4468	1.4095	21.137	0.73	1.28	18.34	125.68	7.64	True	no
3727	Aragonite	1.3851	1.328	4	277.05	364.79	1.6792	1.5989	174.29	0.47	1.17	44.72	144.66	104.43	True	no
3728	Aragonite	1.5309	1.3961	8	281.33	367.57	2.2695	2.6423	113.88	0.62	1.22	137.11	60.32	140.53	True	no
3729	Aragonite	1.0935	1.18	4	316.33	364.73	1.4996	1.6151	144.46	0.31	0.68	79.55	117.80	170.98	True	no
3730	Aragonite	2.5515	1.8024	6	327.66	367.06	2.2993	1.6274	75.818	0.60	1.86	96.88	62.12	177.86	True	no
3731	Aragonite	1.6038	1.429	5	334.68	367.32	2.4793	3.0102	99.658	1.01	1.49	92.85	123.06	179.18	True	no
3732	Aragonite	1.3851	1.328	2	337.11	366.63	2.3946	3.2516	103.63	0.62	1.32	96.39	6.60	177.45	True	no
3733	Aragonite	1.0935	1.18	3	378.40	365.33	1.4778	1.5685	128.43	0.57	1.30	91.31	105.86	173.81	True	no
3734	Aragonite	1.8954	1.5535	2	496.15	366.42	1.9374	1.5553	124.35	0.68	1.64	119.16	87.76	177.34	True	no
3735	Aragonite	1.2393	1.2562	4	529.94	364.82	1.3895	1.2235	117.07	0.78	1.08	173.98	134.33	56.21	True	no
3736	Aragonite	58.903	8.6601	14	549.05	377.12	6.97	1.2955	121.29	1.75	3.93	46.42	30.88	66.42	True	edge
3737	Aragonite	0.8019	1.0105	1	489.45	367.18	2.0071	3.9455	97.413	0.87	1.55	112.73	151.28	174.47	True	no
3738	Aragonite	12.247	3.9489	6	561.88	369.62	4.5066	2.6048	139.07	0.98	2.32	162.02	120.77	18.90	True	edge
3739	Aragonite	15.163	4.3939	4	64.24	371.37	6.8692	2.4441	6.2487	1.07	2.98	162.62	169.20	148.45	True	no
3740	Aragonite	1.0206	1.1399	3	283.36	366.71	1.2789	1.2587	144.49	0.54	0.82	42.29	144.65	104.79	True	no
3741	Aragonite	0.9477	1.0985	1	315.77	367.31	1.5497	1.9903	139.6	0.60	1.19	159.30	7.96	103.73	True	no
3742	Aragonite	1.1664	1.2186	4	360.38	367.06	1.4298	1.3765	104.4	0.84	1.28	68.39	77.94	78.72	True	no
3743	Aragonite	0.729	0.96343	3	441.50	366.00	1.2312	1.633	26.565	0.47	1.45	153.47	122.52	17.54	True	no
3744	Aragonite	1.0935	1.18	2	476.20	367.60	1.7793	2.2739	114.35	0.59	1.37	127.45	71.80	164.90	True	no
3745	Aragonite	10.06	3.579	7	211.25	374.17	6.0123	2.822	48.698	0.81	1.71	2.82	161.11	126.62	True	no
3746	Aragonite	0.9477	1.0985	5	272.85	367.38	1.4722	1.7963	143.27	0.23	0.52	149.07	53.92	135.24	True	no
3747	Aragonite	1.3851	1.328	5	276.68	368.42	1.6803	1.601	125.64	0.57	0.88	107.14	104.60	144.28	True	no
3748	Aragonite	1.6767	1.4611	5	287.61	368.87	2.0742	2.0153	118.97	0.54	1.22	105.07	117.09	168.28	True	no
3749	Aragonite	1.3851	1.328	4	308.95	369.32	2.3255	3.0666	71.323	1.21	1.68	101.55	57.63	162.00	True	no
3750	Aragonite	1.1664	1.2186	5	370.19	367.69	1.523	1.5618	66.313	0.56	0.99	144.86	81.60	33.72	True	no
3751	Aragonite	1.9683	1.5831	2	397.33	371.85	3.2725	4.2733	92.963	0.99	2.26	63.86	25.47	35.19	True	no
3752	Aragonite	2.7702	1.8781	4	469.61	370.66	2.8476	2.299	117.73	0.85	2.29	7.81	165.51	65.26	True	no
3753	Aragonite	1.7496	1.4925	3	482.50	369.71	2.2173	2.2071	119.11	0.67	1.47	125.56	69.69	166.96	True	no
3754	Aragonite	7.8732	3.1661	4	95.05	370.76	5.7322	3.2778	7.6531	1.25	2.25	142.42	165.07	127.77	True	no
3755	Aragonite	2.7702	1.8781	2	126.34	370.05	2.0099	1.1453	9.5967	0.78	1.83	128.62	70.34	26.16	True	no
3756	Aragonite	1.3122	1.2926	4	267.72	368.33	1.6972	1.7241	10.561	0.56	1.19	175.59	51.92	117.12	True	no
3757	Aragonite	3.5721	2.1326	4	312.45	376.35	5.3536	6.3017	97.472	1.26	2.30	171.63	13.56	92.30	True	no
3758	Aragonite	1.3851	1.328	4	332.79	370.63	2.2521	2.876	100.13	0.58	1.65	134.28	71.61	163.45	True	no
3759	Aragonite	4.0095	2.2594	1	391.47	374.62	4.3807	3.7591	88.824	0.96	3.52	92.36	73.42	15.49	True	no
3760	Aragonite	0.8748	1.0554	2	441.83	368.50	1.3698	1.6846	30.473	0.43	1.68	81.42	15.51	64.69	True	no
3761	Aragonite	1.2393	1.2562	4	528.65	370.82	2.335	3.4553	94.194	0.71	1.22	67.73	36.55	60.82	True	no
3762	Aragonite	1.8225	1.5233	4	536.44	371.36	2.4798	2.65	117.21	1.05	2.98	169.74	134.44	52.57	True	no
3763	Aragonite	1.5309	1.3961	2	556.90	369.90	2.4093	2.9779	147.39	0.69	1.38	82.99	17.80	70.96	True	no
3764	Aragonite	3.2805	2.0437	4	109.51	372.47	2.8067	1.8859	77.503	1.02	2.31	136.73	166.71	93.91	True	no
3765	Aragonite	2.4786	1.7765	5	270.71	372.79	2.3322	1.7235	111.68	0.61	1.26	160.54	56.50	122.82	True	no
3766	Aragonite	1.1664	1.2186	4	296.56	371.69	2.0121	2.7262	101.22	0.43	0.94	85.72	147.98	142.38	True	no
3767	Aragonite	7.5816	3.107	8	357.23	377.12	3.3166	1.1395	84.446	1.21	2.80	89.45	125.75	173.89	True	no
3768	Aragonite	2.1141	1.6407	6	365.41	371.10	1.8797	1.3127	103.7	0.99	2.05	10.73	145.59	98.19	True	no
3769	Aragonite	3.645	2.1543	4	384.54	378.88	6.2296	8.362	94.804	1.32	2.67	116.49	58.08	160.01	True	no
3770	Aragonite	12.685	4.0188	6	413.16	375.37	5.4752	1.8561	142	0.86	1.99	129.76	32.00	0.06	True	no
3771	Aragonite	13.414	4.1326	10	533.26	382.95	6.8439	2.7425	98.756	1.06	2.56	151.16	127.65	41.17	True	no
3772	Aragonite	2.2599	1.6963	4	176.10	373.94	2.7634	2.6539	73.838	0.87	2.38	79.81	81.26	140.24	True	no
3773	Aragonite	1.0935	1.18	4	183.87	370.53	1.2583	1.1371	165.96	0.25	0.81	38.92	130.53	138.02	True	no
3774	Aragonite	1.0935	1.18	5	190.13	372.00	1.7795	2.2743	90	0.45	1.51	155.96	25.39	131.64	True	no
3775	Aragonite	1.0206	1.1399	5	280.71	371.50	1.5987	1.9668	132.1	0.73	1.21	43.60	145.58	105.06	True	no
3776	Aragonite	1.2393	1.2562	2	358.76	372.06	1.7816	2.0115	102.21	0.62	1.63	123.98	10.71	147.93	True	no
3777	Aragonite	1.8954	1.5535	3	403.96	373.19	2.6051	2.8122	114.49	0.44	1.09	131.13	21.06	179.08	True	no
3778	Aragonite	0.8019	1.0105	3	525.91	371.27	1.4382	2.0258	114.34	0.54	1.10	118.37	86.89	32.02	True	no
3779	Aragonite	2.1141	1.6407	2	118.69	374.17	2.0104	1.5016	78.721	0.51	1.58	7.46	62.17	12.63	True	no
3780	Aragonite	0.729	0.96343	2	205.00	371.50	1.2312	1.633	63.435	0.34	1.00	4.72	163.74	123.72	True	no
3781	Aragonite	3.5721	2.1326	5	264.96	373.49	2.5659	1.4476	128.29	0.79	1.99	128.60	159.76	172.47	True	no
3782	Aragonite	1.6767	1.4611	5	276.26	372.91	2.0167	1.9051	123.58	0.70	1.44	109.45	104.48	146.11	True	no
3783	Aragonite	4.3011	2.3402	8	301.85	377.49	3.8723	2.7381	111.86	0.68	1.90	69.44	155.75	130.55	True	no
3784	Aragonite	3.3534	2.0663	4	318.17	377.09	3.6695	3.1538	85.208	0.72	1.90	174.38	5.67	96.79	True	no
3785	Aragonite	2.4057	1.7502	4	345.21	374.12	2.5146	2.0643	92.917	0.75	1.47	98.15	97.15	173.76	True	no
3786	Aragonite	17.204	4.6803	9	383.79	389.54	8.8936	3.6108	108.71	2.94	5.91	37.08	159.01	107.62	True	no
3787	Aragonite	6.561	2.8903	3	426.77	376.80	4.4115	2.3297	123.31	0.85	2.83	124.86	95.55	173.32	True	no
3788	Aragonite	0.8748	1.0554	3	498.08	370.92	1.5185	2.0702	162.01	0.66	0.79	124.65	30.89	175.05	True	no
3789	Aragonite	1.5309	1.3961	3	505.29	372.05	1.7902	1.6442	120.41	0.78	0.88	123.21	41.63	174.76	True	no
3790	Aragonite	0.729	0.96343	1	75.10	372.50	1.2587	1.7068	23.782	0.00	0.00	11.30	73.35	7.00	True	no
3791	Aragonite	6.561	2.8903	5	99.07	378.54	5.3895	3.4771	33.508	0.86	1.49	36.84	65.00	14.26	True	no
3792	Aragonite	0.9477	1.0985	5	253.85	372.38	1.4722	1.7963	143.27	0.82	2.16	140.92	124.38	20.99	True	no
3793	Aragonite	1.6767	1.4611	3	283.91	374.78	1.9987	1.8712	85.659	0.65	1.68	106.59	103.35	146.54	True	no
3794	Aragonite	9.2583	3.4334	12	284.66	380.02	4.3032	1.5709	74.194	2.06	4.61	147.75	52.37	135.54	True	no
3795	Aragonite	0.9477	1.0985	6	295.00	374.15	1.6479	2.2506	101.92	0.33	0.88	114.74	100.86	160.59	True	no
3796	Aragonite	1.458	1.3625	4	304.65	373.95	2.0918	2.3571	110.13	0.47	0.87	138.86	39.40	150.15	True	no
3797	Aragonite	1.1664	1.2186	2	315.06	374.25	1.9443	2.5454	84.772	0.79	1.59	175.44	18.54	86.58	True	no
3798	Aragonite	3.2076	2.0209	4	340.48	375.52	3.0359	2.2567	95.888	1.08	2.14	75.06	159.81	155.39	True	no
3799	Aragonite	3.5721	2.1326	5	370.55	375.31	2.5984	1.4845	98.656	1.00	1.86	176.77	30.26	86.69	True	no
