Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
31	Aragonite	0.99	1.1227	2	13.91	10.36	1.3364	1.4169	74.929	0.27	0.37	42.53	143.57	102.78	True	no
32	Aragonite	3.78	2.1938	3	51.83	12.55	2.3883	1.1851	34.693	0.57	1.33	56.73	45.21	128.61	True	no
33	Aragonite	1.08	1.1726	4	143.58	12.00	2.2279	3.6095	90	0.53	1.52	174.58	24.70	98.43	True	no
34	Aragonite	5.4	2.6221	3	3.07	13.03	2.6102	1.9819	103.76	0.60	1.08	96.88	110.87	140.04	True	edge
35	Aragonite	0.99	1.1227	4	132.45	11.09	1.4283	1.6183	30.964	0.69	1.13	148.85	146.54	83.26	True	no
36	Aragonite	1.44	1.3541	1	519.88	12.31	1.4083	1.0817	60.767	0.62	1.23	178.56	24.91	6.88	True	no
37	Aragonite	5.22	2.578	5	81.16	14.93	2.7223	1.115	161.06	0.69	1.57	164.17	12.17	12.41	True	no
38	Aragonite	4.32	2.3453	4	89.88	16.02	3.7518	2.559	124.37	0.79	1.78	30.11	133.20	68.62	True	no
39	Aragonite	4.23	2.3207	3	95.45	16.36	2.5631	1.2198	116.04	0.66	1.77	156.85	81.42	136.39	True	no
40	Aragonite	7.65	3.1209	8	137.74	16.87	3.5912	1.3241	86.928	1.11	3.03	92.11	69.47	116.55	True	no
