Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current dataset	Border_grain
1518	Aragonite	7.168	3.021	6	69.76	200.66	3.4259	1.286	122.32	1.24	2.46	105.00	85.11	163.34	True	no
1519	Aragonite	3.2768	2.0426	7	76.91	196.09	2.8462	1.9417	166.81	1.05	1.95	146.09	28.56	140.29	True	no
1520	Aragonite	1.3312	1.3019	4	85.92	196.62	1.808	1.9286	95.046	0.61	1.05	58.37	48.51	40.77	True	no
1521	Aragonite	4.7104	2.449	6	102.57	197.74	3.9074	2.5457	131.96	0.81	2.53	169.65	152.08	40.68	True	no
1522	Aragonite	7.68	3.1271	6	174.48	199.68	3.8176	1.4904	9.7546	0.97	2.04	18.73	108.88	22.54	True	no
1523	Aragonite	11.878	3.889	8	203.28	199.07	4.1814	1.1561	169.86	0.87	2.26	39.37	23.05	146.64	True	no
1524	Aragonite	6.656	2.9111	7	243.92	197.40	3.6069	1.5352	8.6712	0.55	1.15	171.80	130.29	147.27	True	no
1525	Aragonite	2.56	1.8054	5	251.80	196.12	2.0561	1.297	70.428	0.85	1.57	23.53	107.03	25.71	True	no
1526	Aragonite	4.1984	2.312	7	281.85	198.61	3.1359	1.8396	102.66	1.12	2.57	147.29	92.66	49.20	True	no
1527	Aragonite	9.0112	3.3872	6	318.26	201.95	4.4739	1.7446	120.67	0.99	2.80	141.17	133.65	16.39	True	no
1528	Aragonite	4.8128	2.4754	6	387.36	198.57	4.2183	2.9038	140.78	0.91	2.34	108.89	153.94	126.14	True	no
1529	Aragonite	1.024	1.1418	3	416.10	195.10	1.6119	1.9927	29.767	0.84	1.03	66.24	107.12	64.46	True	no
1530	Aragonite	3.6864	2.1665	7	421.42	196.75	2.691	1.5428	174.48	0.74	1.63	22.55	56.30	101.56	True	no
1531	Aragonite	1.024	1.1418	3	490.10	196.00	1.4201	1.5469	124.41	0.57	0.85	119.95	62.32	124.57	True	no
1532	Aragonite	4.1984	2.312	5	18.20	199.22	3.5887	2.4092	133.78	1.44	2.42	148.28	113.95	175.80	True	no
1533	Aragonite	1.4336	1.351	3	71.36	197.21	1.5325	1.2867	114.36	0.17	0.61	81.75	144.04	150.09	True	no
1534	Aragonite	10.24	3.6108	6	128.36	200.68	4.183	1.342	11.333	1.03	2.24	41.79	45.51	174.04	True	no
1535	Aragonite	5.8368	2.7261	7	163.37	198.60	2.8494	1.0925	36.634	0.86	2.33	39.99	82.46	179.78	True	no
1536	Aragonite	17.715	4.7493	10	299.56	207.28	7.7559	2.6669	68.134	2.17	5.58	9.29	155.58	96.17	True	no
1537	Aragonite	2.1504	1.6547	6	335.57	197.43	2.1494	1.6873	105.82	0.68	0.79	45.12	33.91	87.34	True	no
1538	Aragonite	2.8672	1.9107	7	356.18	198.07	2.2018	1.3279	77.73	1.29	2.75	149.21	51.29	27.49	True	no
