Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current dataset	Border_grain
1	Aragonite	2.9696	1.9445	2	133.66	12.93	2.5466	1.7152	78.84	1.09	2.18	108.17	113.17	15.69	True	no
2	Aragonite	2.3552	1.7317	2	128.96	13.35	2.1295	1.5123	95.231	0.76	1.51	113.44	110.46	16.09	True	no
3	Aragonite	1.8432	1.5319	2	116.83	13.72	2.0566	1.8023	93.009	0.75	1.40	121.74	105.65	20.45	True	no
4	Aragonite	19.046	4.9245	7	123.93	25.04	9.6875	3.8699	96.703	2.43	4.72	113.85	110.37	10.71	True	no
5	Aragonite	3.7888	2.1964	4	141.51	14.84	3.1543	2.0625	49.819	0.91	1.98	88.23	12.28	135.23	True	no
6	Aragonite	3.584	2.1362	2	148.89	13.74	2.4207	1.2842	2.2806	0.73	2.09	40.97	124.67	174.31	True	no
7	Aragonite	17.101	4.6662	10	116.42	30.75	11.618	6.1993	104.81	1.95	4.45	115.68	107.80	15.97	True	no
8	Aragonite	1.2288	1.2508	2	118.92	15.92	1.7997	2.0702	72.007	0.97	2.20	174.25	158.05	58.55	True	no
9	Aragonite	1.2288	1.2508	2	143.33	15.42	1.77	2.0023	24.306	0.48	0.78	46.58	71.29	171.45	True	no
10	Aragonite	1.4336	1.351	0	325.00	15.50	1.4408	1.1373	138.56	0.67	1.46	0.93	30.62	135.50	True	no
11	Aragonite	2.56	1.8054	3	132.28	19.32	2.0788	1.3258	66.111	1.19	2.46	106.77	112.66	15.01	True	no
12	Aragonite	6.8608	2.9556	4	108.76	24.19	5.5271	3.4971	112.18	1.68	2.88	96.53	46.57	15.74	True	no
13	Aragonite	1.8432	1.5319	4	136.00	20.11	2.0735	1.832	83.698	0.77	1.60	100.95	60.95	18.37	True	no
14	Aragonite	4.5056	2.3951	3	102.73	24.75	5.3149	4.9242	98.254	1.29	2.85	34.93	41.05	105.01	True	no
15	Aragonite	1.024	1.1418	0	153.50	18.80	1.3362	1.3693	180	0.42	1.45	50.57	60.04	171.35	True	no
16	Aragonite	2.6624	1.8412	0	163.00	22.04	2.5353	1.8961	79.094	0.80	2.07	58.41	61.03	166.32	True	no
17	Aragonite	2.1504	1.6547	1	170.24	21.10	1.8145	1.2025	69.082	0.46	0.90	0.67	111.30	51.42	True	no
18	Aragonite	5.632	2.6779	4	140.84	25.93	4.4601	2.7741	62.594	0.81	2.16	40.65	125.63	171.91	True	no
19	Aragonite	5.5296	2.6534	1	93.20	27.07	3.8574	2.1134	111.04	0.76	1.88	164.36	119.04	15.77	True	no
20	Aragonite	16.077	4.5243	13	109.97	41.94	10.8	5.6977	107.61	1.82	4.45	151.00	101.42	37.18	True	no
21	Aragonite	1.6384	1.4443	2	245.06	22.81	1.6145	1.2496	91.13	1.05	1.87	87.99	131.40	41.69	True	no
22	Aragonite	3.072	1.9777	2	250.17	24.10	2.4023	1.4755	157	0.87	1.61	118.48	93.83	55.32	True	no
23	Aragonite	1.024	1.1418	2	138.70	23.40	1.345	1.3876	36.557	0.59	1.77	48.13	71.41	172.50	True	no
24	Aragonite	5.8368	2.7261	4	96.60	31.44	4.9244	3.2631	87.514	1.09	2.41	83.06	14.53	73.92	True	no
25	Aragonite	3.7888	2.1964	3	101.43	30.38	5.0396	5.2648	105.44	0.99	1.72	102.82	55.16	15.19	True	no
26	Aragonite	1.3312	1.3019	3	134.00	26.00	2.2917	3.0986	105.71	0.73	1.33	100.71	58.09	15.62	True	no
27	Aragonite	3.4816	2.1054	2	173.09	25.79	2.3996	1.299	0.44545	0.65	1.58	131.55	111.08	128.91	True	no
28	Aragonite	1.024	1.1418	0	197.80	24.40	1.4118	1.5286	80.28	0.00	0.00	97.93	92.43	53.57	True	no
29	Aragonite	3.584	2.1362	3	128.46	28.54	3.3442	2.4509	115.68	0.88	2.23	31.03	38.89	100.33	True	no
30	Aragonite	1.536	1.3985	1	244.00	26.40	1.5913	1.2948	136.15	0.00	0.00	85.29	134.15	38.09	True	no
31	Aragonite	2.048	1.6148	2	179.50	27.05	1.8223	1.2735	125.35	0.57	1.07	58.68	135.34	83.38	True	no
32	Aragonite	2.1504	1.6547	5	255.38	27.95	2.059	1.5485	20.753	0.46	1.98	7.52	49.47	88.04	True	no
33	Aragonite	1.6384	1.4443	3	261.06	28.13	1.6725	1.3409	142.59	0.79	1.71	169.07	134.38	76.42	True	no
34	Aragonite	1.3312	1.3019	0	239.38	28.62	1.4105	1.1737	45	0.69	0.90	122.19	66.87	56.15	True	no
35	Aragonite	1.1264	1.1976	3	120.82	30.82	1.862	2.4174	113.74	0.88	1.49	159.01	170.43	50.70	True	no
36	Aragonite	3.4816	2.1054	5	133.88	32.03	2.773	1.7347	105	0.77	1.54	109.22	111.93	13.73	True	no
37	Aragonite	11.878	3.889	7	140.51	35.82	4.964	1.6293	51.472	1.53	4.43	48.40	61.59	173.72	True	no
38	Aragonite	3.1744	2.0104	2	185.74	29.90	2.7519	1.8737	156.46	0.82	1.25	121.88	118.13	150.36	True	no
39	Aragonite	6.2464	2.8201	5	248.07	34.25	4.0778	2.0908	103	0.95	1.99	171.91	126.86	79.07	True	no
40	Aragonite	1.4336	1.351	3	251.07	30.29	1.5397	1.2988	101.69	0.68	1.47	171.52	126.41	74.02	True	no
41	Aragonite	5.3248	2.6038	3	288.08	32.50	3.7757	2.1027	157.26	1.18	1.83	120.28	135.46	84.91	True	no
42	Aragonite	1.536	1.3985	1	287.87	29.40	1.6004	1.3097	141.26	0.88	2.12	3.98	63.49	54.38	True	no
43	Aragonite	8.2944	3.2497	4	113.60	37.32	4.6978	2.0898	105.69	1.10	3.68	96.40	45.98	17.48	True	no
44	Aragonite	2.8672	1.9107	2	197.39	33.11	2.9428	2.3722	115.62	0.44	1.05	131.21	122.97	163.09	True	no
45	Aragonite	2.4576	1.7689	2	220.08	31.71	2.166	1.4993	143.15	0.55	0.95	163.91	75.57	164.99	True	no
46	Aragonite	1.2288	1.2508	4	259.25	30.75	1.6347	1.7081	121.22	0.93	1.57	108.24	98.10	45.10	True	no
47	Aragonite	2.1504	1.6547	3	281.00	30.86	1.8066	1.1921	128.95	0.72	2.66	14.19	68.17	48.69	True	no
48	Aragonite	1.1264	1.1976	2	158.73	31.73	1.5513	1.6779	80.008	0.60	1.54	5.35	52.55	153.29	True	no
49	Aragonite	3.7888	2.1964	2	163.32	34.38	2.4685	1.2631	61.794	0.84	2.00	90.76	28.91	81.92	True	no
50	Aragonite	4.4032	2.3678	3	264.88	33.51	2.6479	1.2506	127.96	1.10	2.59	66.46	60.00	61.00	True	no
51	Aragonite	5.632	2.6779	3	274.22	33.98	3.1523	1.3857	59.728	0.80	2.15	19.39	23.83	118.32	True	no
52	Aragonite	1.536	1.3985	2	148.13	32.53	1.4913	1.1371	14.036	0.75	0.94	47.09	125.77	173.39	True	no
53	Aragonite	2.6624	1.8412	3	155.27	33.35	2.0606	1.2526	106.17	0.62	1.58	3.26	50.13	154.74	True	no
54	Aragonite	2.3552	1.7317	2	192.87	33.61	1.9188	1.2278	82.774	0.77	1.57	126.00	118.95	152.67	True	no
55	Aragonite	1.536	1.3985	4	253.60	33.07	1.6062	1.3191	80.538	0.61	0.85	74.24	72.65	56.56	True	no
56	Aragonite	1.024	1.1418	1	320.70	32.70	1.2868	1.27	45	0.13	0.65	87.51	104.80	50.68	True	no
57	Aragonite	1.8432	1.5319	3	184.33	34.39	1.8037	1.3862	155.66	0.17	0.19	115.24	30.15	54.69	True	no
58	Aragonite	1.3312	1.3019	1	210.69	33.62	1.6209	1.5501	66.233	0.28	0.46	132.41	124.06	163.84	True	no
59	Aragonite	5.2224	2.5786	3	227.75	35.96	4.0085	2.4165	137.34	1.08	3.61	142.77	136.50	159.31	True	no
60	Aragonite	2.56	1.8054	1	242.96	35.04	2.4959	1.9113	144.45	1.01	1.30	163.68	75.01	162.18	True	no
61	Aragonite	2.9696	1.9445	4	258.17	35.55	2.5259	1.6874	103.97	1.02	2.72	115.80	105.08	53.88	True	no
62	Aragonite	3.9936	2.255	4	302.00	35.23	2.4246	1.1561	109.84	0.89	1.70	57.61	121.07	49.65	True	no
63	Aragonite	1.3312	1.3019	0	389.15	33.46	1.4028	1.1611	76.224	0.52	0.67	30.82	77.50	168.38	True	no
64	Aragonite	5.0176	2.5276	4	122.39	39.10	4.2586	2.8387	112.63	0.97	2.07	30.71	39.40	99.39	True	no
65	Aragonite	9.6256	3.5008	9	128.95	43.80	6.0038	2.9411	66.667	1.15	2.66	144.18	105.79	38.22	True	no
66	Aragonite	1.024	1.1418	2	306.40	34.70	1.3532	1.4046	33.836	0.77	1.44	124.16	135.30	96.86	True	no
67	Aragonite	6.5536	2.8887	5	149.28	38.13	3.6416	1.5893	25.451	0.86	1.69	36.70	109.66	173.28	True	no
68	Aragonite	2.7648	1.8762	4	168.15	36.89	2.1672	1.3342	79.801	0.82	1.47	6.51	62.92	148.94	True	no
69	Aragonite	1.024	1.1418	2	172.00	35.20	1.2842	1.2649	90	0.23	1.17	93.17	22.69	74.60	True	no
70	Aragonite	1.2288	1.2508	4	179.33	35.50	1.4312	1.3093	37.238	0.37	0.40	159.63	70.46	21.03	True	no
71	Aragonite	6.5536	2.8887	5	280.86	41.00	5.1928	3.2316	106.46	1.29	3.36	121.91	134.75	89.99	True	no
72	Aragonite	1.3312	1.3019	2	320.15	36.15	1.8823	2.0904	144.44	0.79	1.12	0.26	82.00	164.13	True	no
73	Aragonite	4.5056	2.3951	3	220.14	39.09	2.9293	1.4958	143.28	0.85	1.97	144.08	126.08	159.02	True	no
74	Aragonite	3.2768	2.0426	4	254.59	38.50	2.2792	1.2451	128.69	1.27	2.36	118.95	100.33	52.80	True	no
75	Aragonite	1.3312	1.3019	2	297.23	36.69	1.4909	1.3114	126.29	0.26	0.29	37.11	29.05	136.44	True	no
76	Aragonite	2.2528	1.6936	4	308.32	38.27	2.2309	1.7351	37.506	0.69	1.41	149.31	34.33	32.91	True	no
77	Aragonite	1.536	1.3985	1	316.93	37.47	1.7303	1.531	102.55	0.31	0.94	142.76	163.22	5.02	True	no
78	Aragonite	1.4336	1.351	1	86.50	37.29	1.3654	1.0214	90	0.52	1.08	14.48	59.71	116.98	True	no
79	Aragonite	4.4032	2.3678	7	187.84	39.84	4.5046	3.6194	146.08	0.81	1.28	58.04	142.72	85.25	True	no
80	Aragonite	1.536	1.3985	3	191.60	37.53	1.9148	1.8747	173.53	0.49	1.32	152.33	61.76	153.85	True	no
81	Aragonite	1.3312	1.3019	2	203.62	38.31	1.7779	1.8649	122.88	0.83	1.13	131.20	124.00	163.90	True	no
82	Aragonite	7.8848	3.1685	4	208.60	41.82	3.5052	1.2238	86.886	0.90	2.81	101.27	124.79	116.83	True	no
83	Aragonite	2.6624	1.8412	3	88.31	41.31	2.4162	1.7222	109.79	1.23	2.22	142.16	82.61	48.60	True	no
84	Aragonite	4.8128	2.4754	5	157.94	40.70	3.3333	1.8131	152.74	0.72	1.62	159.51	70.54	24.39	True	no
85	Aragonite	1.536	1.3985	4	175.53	39.47	2.0839	2.2206	70.983	0.93	1.65	92.57	26.15	75.56	True	no
86	Aragonite	4.8128	2.4754	5	181.94	40.55	3.2253	1.6975	159.12	0.86	1.56	157.68	71.87	26.06	True	no
87	Aragonite	8.192	3.2296	7	202.15	44.01	5.7497	3.1695	125.48	1.45	2.97	31.52	157.28	73.71	True	no
88	Aragonite	7.2704	3.0425	5	236.94	43.72	4.2452	1.9468	113.03	1.53	2.61	32.33	161.86	55.25	True	no
89	Aragonite	1.024	1.1418	3	261.10	39.40	1.5226	1.7781	99.308	0.70	2.17	168.05	133.04	74.14	True	no
90	Aragonite	1.024	1.1418	3	263.50	38.50	1.5824	1.9205	114.18	1.03	1.24	166.89	128.88	71.57	True	no
91	Aragonite	6.9632	2.9776	4	288.74	41.00	3.4141	1.3147	11.504	1.76	3.58	53.04	104.75	47.75	True	no
92	Aragonite	1.9456	1.5739	3	294.95	39.26	1.8097	1.322	114.7	0.49	0.66	15.04	33.37	149.36	True	no
93	Aragonite	10.547	3.6646	6	95.07	46.32	6.3695	3.0211	114.75	1.70	3.35	149.37	74.88	38.84	True	no
94	Aragonite	2.1504	1.6547	4	98.57	40.62	2.03	1.5051	97.202	0.99	2.20	98.53	45.32	68.90	True	no
95	Aragonite	2.56	1.8054	5	171.32	41.36	2.1648	1.4377	102.17	0.95	1.58	92.78	24.19	75.30	True	no
96	Aragonite	10.24	3.6108	6	274.99	44.64	3.8931	1.1625	67.916	0.99	3.28	17.32	22.52	116.26	True	no
97	Aragonite	3.9936	2.255	5	104.23	43.15	2.8224	1.5666	141.63	1.08	2.43	101.30	40.56	68.06	True	no
98	Aragonite	1.1264	1.1976	4	193.27	40.18	1.736	2.1012	146.85	0.19	0.88	134.61	113.82	139.26	True	no
99	Aragonite	18.022	4.7903	7	263.37	49.13	6.1285	1.6368	55.018	1.65	4.29	64.54	64.57	59.11	True	no
100	Aragonite	3.2768	2.0426	3	313.34	41.72	2.5302	1.5344	148.48	0.70	1.52	36.97	30.19	131.77	True	no
101	Aragonite	2.9696	1.9445	3	246.52	42.34	2.2636	1.3552	33.239	0.96	2.60	32.92	161.41	54.28	True	no
102	Aragonite	7.0656	2.9994	6	254.22	44.36	3.2633	1.1837	9.5081	0.98	2.59	117.27	103.62	54.12	True	no
103	Aragonite	4.9152	2.5016	5	304.06	43.38	3.1144	1.5499	170.52	0.60	2.19	141.25	139.94	101.12	True	no
104	Aragonite	3.2768	2.0426	2	85.78	44.97	2.4773	1.4709	99.836	0.98	1.84	81.33	50.00	77.40	True	no
105	Aragonite	1.7408	1.4888	3	133.88	43.65	2.2516	2.2872	49.202	0.66	1.11	168.95	24.42	44.92	True	no
106	Aragonite	1.4336	1.351	3	166.93	42.57	1.7504	1.6786	172.61	0.43	1.49	99.98	20.74	67.98	True	no
107	Aragonite	1.1264	1.1976	2	178.64	43.36	1.5527	1.681	114.04	0.36	1.07	91.70	25.36	76.39	True	no
108	Aragonite	1.6384	1.4443	3	224.13	43.19	2.1448	2.2052	37.242	0.78	1.05	145.59	122.89	155.75	True	no
109	Aragonite	4.4032	2.3678	4	230.28	43.35	2.7221	1.3216	2.8839	0.82	1.82	147.40	123.81	159.35	True	no
110	Aragonite	10.035	3.5745	7	292.22	46.72	5.4424	2.3182	23.322	1.05	2.15	120.07	138.52	88.43	True	no
111	Aragonite	1.536	1.3985	2	318.47	43.93	2.1275	2.3144	118.22	0.56	1.36	175.07	95.88	21.60	True	no
112	Aragonite	1.1264	1.1976	2	140.73	42.91	1.7045	2.0258	24.337	0.12	0.63	29.53	96.79	162.69	True	no
113	Aragonite	15.974	4.5099	12	138.38	48.44	8.7927	3.8011	26.219	1.52	3.52	151.92	10.29	61.46	True	no
114	Aragonite	3.6864	2.1665	5	194.86	45.44	2.6413	1.4863	32.372	0.87	2.45	89.05	28.25	76.46	True	no
115	Aragonite	2.8672	1.9107	4	219.04	45.36	2.5381	1.7646	101.53	0.79	2.10	24.69	153.03	43.16	True	no
116	Aragonite	1.024	1.1418	3	261.20	43.70	1.461	1.637	71.778	0.65	1.29	170.10	125.86	79.81	True	no
117	Aragonite	6.0416	2.7735	5	187.41	47.00	3.5762	1.6625	132.53	0.64	1.45	167.66	32.01	151.47	True	no
118	Aragonite	2.7648	1.8762	4	242.93	45.78	2.7053	2.0791	142.57	0.56	0.81	163.17	74.25	164.12	True	no
119	Aragonite	1.536	1.3985	1	325.67	44.53	1.8199	1.6935	3.519	0.32	1.20	173.85	88.01	28.87	True	no
120	Aragonite	4.9152	2.5016	6	102.27	49.02	3.4291	1.8789	105.84	1.14	2.34	152.21	72.39	37.22	True	no
121	Aragonite	1.536	1.3985	3	109.73	46.40	1.8809	1.8089	102	0.57	1.21	107.73	51.68	47.58	True	no
122	Aragonite	1.536	1.3985	3	115.87	45.93	1.5555	1.2373	103.7	0.19	0.99	117.23	109.93	15.94	True	no
123	Aragonite	1.1264	1.1976	4	151.55	46.45	1.5474	1.6695	91.301	0.89	1.69	128.63	9.20	89.43	True	no
124	Aragonite	8.4992	3.2896	7	177.01	48.01	4.4891	1.8622	169.01	0.91	2.48	76.48	141.06	96.13	True	no
125	Aragonite	1.6384	1.4443	2	313.06	45.38	1.8771	1.689	3.1155	0.71	1.59	173.66	95.94	22.16	True	no
126	Aragonite	1.2288	1.2508	4	154.58	46.75	1.4318	1.3103	147.93	0.62	1.30	153.32	5.85	68.69	True	no
127	Aragonite	1.536	1.3985	5	158.40	47.20	1.4704	1.1055	18.435	0.99	2.07	38.81	113.27	172.67	True	no
128	Aragonite	1.8432	1.5319	2	164.44	47.06	1.942	1.607	134.47	0.50	0.65	75.22	137.25	102.48	True	no
129	Aragonite	2.3552	1.7317	4	302.78	47.35	2.395	1.9128	15.945	1.20	2.87	61.87	115.98	46.56	True	no
130	Aragonite	6.9632	2.9776	2	329.12	49.59	3.3727	1.283	156.06	0.78	1.49	135.38	42.11	46.77	True	no
131	Aragonite	10.752	3.7	8	216.10	52.29	4.8957	1.7508	141.32	1.23	3.65	154.43	85.71	134.45	True	no
132	Aragonite	3.3792	2.0743	4	310.18	50.12	2.6421	1.6225	98.073	0.74	1.29	44.66	129.73	104.07	True	no
133	Aragonite	1.2288	1.2508	4	107.25	48.67	1.34	1.1477	70.195	0.40	0.45	45.61	132.99	113.51	True	no
134	Aragonite	4.1984	2.312	4	147.59	50.10	3.0822	1.7772	9.019	1.11	2.62	33.18	110.19	173.19	True	no
135	Aragonite	1.1264	1.1976	1	170.36	48.64	1.3982	1.3631	154.59	0.22	0.40	68.96	49.19	36.61	True	no
136	Aragonite	3.9936	2.255	6	232.13	49.51	3.5668	2.502	154.87	0.92	1.53	20.11	154.39	38.94	True	no
137	Aragonite	1.024	1.1418	4	247.30	48.90	1.1975	1.0998	59.872	0.54	1.43	28.29	161.12	51.28	True	no
138	Aragonite	1.2288	1.2508	3	316.00	49.17	1.5116	1.4605	135.95	0.39	1.13	141.67	38.35	35.34	True	no
139	Aragonite	1.536	1.3985	3	320.13	48.60	1.6004	1.3097	141.26	0.45	1.16	25.70	36.79	139.17	True	no
140	Aragonite	22.528	5.3557	7	88.52	59.30	6.6461	1.5399	92.344	2.74	4.84	149.36	73.54	37.90	True	no
141	Aragonite	6.4512	2.866	5	164.24	51.95	4.4212	2.3797	151.4	1.66	3.69	112.67	30.75	60.61	True	no
142	Aragonite	4.9152	2.5016	4	198.38	51.02	3.2729	1.7117	148.36	0.94	1.61	128.34	120.05	157.45	True	no
143	Aragonite	2.7648	1.8762	5	223.67	49.89	2.5999	1.9202	2.933	0.79	1.55	152.51	125.96	160.45	True	no
144	Aragonite	3.9936	2.255	6	297.72	52.15	2.991	1.7594	56.711	0.68	1.64	38.50	28.98	124.47	True	no
145	Aragonite	2.4576	1.7689	5	304.00	50.92	2.6168	2.1884	34.832	0.77	1.27	52.65	62.79	158.19	True	no
146	Aragonite	3.9936	2.255	2	339.64	50.79	2.7303	1.466	136.89	0.72	1.31	135.26	42.49	48.78	True	no
147	Aragonite	13.005	4.0692	10	149.88	56.29	5.5732	1.8759	39.154	1.13	2.33	34.35	113.99	170.69	True	no
148	Aragonite	12.288	3.9554	10	239.66	56.77	4.5225	1.3073	77.305	1.97	3.50	151.10	124.47	160.00	True	no
149	Aragonite	1.024	1.1418	2	250.80	50.60	1.4749	1.6684	139.07	0.14	0.31	162.56	75.18	163.93	True	no
150	Aragonite	2.2528	1.6936	4	118.77	52.82	2.3768	1.9695	101.55	0.91	1.70	30.53	36.86	104.99	True	no
151	Aragonite	1.2288	1.2508	1	139.00	51.50	1.4637	1.3693	90	1.22	1.46	28.30	114.63	170.80	True	no
152	Aragonite	1.7408	1.4888	4	228.53	52.35	1.8123	1.4819	80.101	0.50	0.73	168.75	73.79	163.95	True	no
153	Aragonite	3.1744	2.0104	5	269.77	54.97	3.0218	2.2592	80.905	0.76	1.50	141.04	77.03	72.79	True	no
154	Aragonite	2.1504	1.6547	4	273.10	53.71	2.3556	2.0266	93.368	0.72	2.08	20.98	80.40	110.39	True	no
155	Aragonite	3.2768	2.0426	6	277.84	53.50	2.4087	1.3906	69.153	0.80	2.13	112.64	45.07	31.65	True	no
156	Aragonite	1.1264	1.1976	2	282.09	52.00	1.2746	1.1328	90	0.68	1.43	142.00	103.14	22.56	True	no
157	Aragonite	1.4336	1.351	3	293.36	51.79	1.5325	1.2867	65.642	0.43	0.69	12.35	68.54	44.90	True	no
158	Aragonite	1.536	1.3985	4	121.60	53.07	1.6062	1.3191	80.538	0.39	0.71	147.91	103.64	36.12	True	no
159	Aragonite	6.144	2.7969	5	161.82	55.92	4.2942	2.3572	147.86	1.41	3.79	12.26	52.84	145.54	True	no
160	Aragonite	1.024	1.1418	2	193.90	52.10	1.6119	1.9927	150.23	0.20	0.39	162.16	30.84	156.83	True	no
161	Aragonite	1.6384	1.4443	4	245.31	53.50	2.0148	1.946	81.255	0.43	1.49	168.87	62.74	162.02	True	no
162	Aragonite	2.048	1.6148	2	315.70	53.80	1.9489	1.4566	80.714	0.63	1.25	42.36	94.22	102.20	True	no
163	Aragonite	1.7408	1.4888	3	319.53	52.47	1.7279	1.3471	48.935	0.79	1.52	20.04	64.54	40.56	True	no
164	Aragonite	1.6384	1.4443	4	184.00	54.63	1.7168	1.4129	86.382	0.65	1.50	53.45	69.46	47.76	True	no
165	Aragonite	3.7888	2.1964	5	207.81	54.11	3.4665	2.491	162.39	0.88	1.78	171.95	33.23	140.07	True	no
166	Aragonite	1.2288	1.2508	3	224.33	53.25	1.34	1.1477	160.19	0.71	1.06	43.47	161.02	59.09	True	no
167	Aragonite	2.7648	1.8762	4	232.44	54.70	2.1413	1.3025	35.724	0.56	1.27	147.25	134.99	157.39	True	no
168	Aragonite	1.2288	1.2508	1	82.50	55.00	1.6262	1.6903	90	0.59	1.49	11.49	59.50	136.18	True	no
169	Aragonite	1.1264	1.1976	2	105.36	54.45	1.286	1.1531	71.565	0.23	0.71	49.56	117.90	130.49	True	no
170	Aragonite	3.3792	2.0743	5	141.33	57.76	3.3663	2.6337	61.248	1.08	2.25	139.77	9.38	77.09	True	no
171	Aragonite	2.4576	1.7689	4	178.04	54.38	2.4405	1.9035	12.208	0.37	1.37	141.05	102.47	139.56	True	no
172	Aragonite	1.7408	1.4888	3	248.29	55.12	1.634	1.2047	99.462	0.84	1.74	147.85	123.37	158.35	True	no
173	Aragonite	4.9152	2.5016	6	287.19	56.06	3.7959	2.3024	156.02	0.78	1.70	6.94	60.84	49.72	True	no
174	Aragonite	1.6384	1.4443	4	306.75	54.19	1.9215	1.77	168.58	0.70	1.82	55.79	103.90	45.25	True	no
175	Aragonite	3.1744	2.0104	2	346.61	55.71	2.9507	2.1541	162.27	0.81	1.25	135.42	30.12	46.69	True	no
176	Aragonite	11.366	3.8042	8	105.24	60.93	6.4886	2.9091	41.428	1.35	3.02	171.11	6.50	49.56	True	no
177	Aragonite	3.584	2.1362	5	122.83	59.09	4.0704	3.6308	63.279	1.59	3.09	151.46	9.62	61.85	True	no
178	Aragonite	1.9456	1.5739	4	171.32	57.11	1.935	1.5115	129	0.50	1.89	111.53	31.20	62.47	True	no
179	Aragonite	3.1744	2.0104	7	299.23	56.65	3.3816	2.8293	30.271	0.92	1.97	54.79	105.87	44.15	True	no
180	Aragonite	1.536	1.3985	1	330.87	55.40	1.6004	1.3097	141.26	0.35	0.71	9.26	52.78	151.29	True	no
181	Aragonite	1.4336	1.351	2	338.79	55.71	1.4965	1.227	29.256	0.56	0.78	59.94	25.00	29.37	True	no
182	Aragonite	2.2528	1.6936	5	99.41	57.36	1.7582	1.0778	78.103	0.58	1.60	83.40	38.54	78.46	True	no
183	Aragonite	2.9696	1.9445	4	135.72	58.90	2.5015	1.655	45.293	0.83	1.49	140.31	8.85	73.66	True	no
184	Aragonite	2.048	1.6148	5	180.15	57.70	1.7797	1.2146	116.01	0.86	2.70	141.74	105.42	142.14	True	no
185	Aragonite	1.4336	1.351	5	202.79	56.57	1.4657	1.1769	171.92	0.66	1.01	147.15	85.81	161.72	True	no
186	Aragonite	7.4752	3.0851	6	254.58	61.05	5.2196	2.8625	110.97	1.18	2.21	170.11	125.62	80.03	True	no
187	Aragonite	1.2288	1.2508	5	293.50	56.33	1.4312	1.3093	127.24	0.49	1.05	62.53	114.50	49.56	True	no
188	Aragonite	6.4512	2.866	4	357.90	59.27	3.1884	1.2377	144.8	0.89	1.90	80.96	136.26	6.04	True	no
189	Aragonite	1.1264	1.1976	0	372.18	56.18	1.2204	1.0385	45	0.17	0.24	49.50	116.85	45.13	True	no
190	Aragonite	4.7104	2.449	1	68.98	61.13	3.5719	2.1274	97.203	0.61	1.41	175.34	75.30	89.86	True	no
191	Aragonite	1.3312	1.3019	5	120.23	57.46	1.6055	1.5208	169.1	0.49	0.78	109.14	51.23	45.37	True	no
192	Aragonite	4.5056	2.3951	5	130.66	60.07	3.1272	1.7047	60.45	0.87	2.06	41.85	50.75	169.62	True	no
193	Aragonite	4.4032	2.3678	6	188.56	57.88	3.8755	2.6791	6.8781	1.20	2.65	5.29	123.32	42.18	True	no
194	Aragonite	1.3312	1.3019	3	196.46	57.46	2.0189	2.4048	132.99	0.62	0.67	141.39	94.28	169.45	True	no
195	Aragonite	3.9936	2.255	4	208.59	58.79	2.8335	1.579	156.06	0.45	0.98	3.25	153.65	42.94	True	no
196	Aragonite	3.3792	2.0743	6	260.70	59.36	3.3229	2.5664	145.19	0.59	1.27	166.25	85.76	164.25	True	no
197	Aragonite	1.3312	1.3019	2	286.15	58.08	1.9555	2.2562	127.68	0.51	0.91	29.86	66.27	96.21	True	no
198	Aragonite	2.1504	1.6547	4	306.14	58.00	1.8066	1.1921	141.05	0.59	1.12	4.26	151.41	130.35	True	no
199	Aragonite	5.9392	2.7499	3	320.55	59.97	3.3142	1.4525	37.22	0.62	1.36	73.72	47.27	145.82	True	no
200	Aragonite	1.2288	1.2508	4	157.25	58.33	1.34	1.1477	109.81	0.25	0.50	41.53	113.13	173.78	True	no
201	Aragonite	1.9456	1.5739	4	200.47	59.84	1.9496	1.5344	108.43	0.53	2.00	161.75	31.68	158.27	True	no
202	Aragonite	1.8432	1.5319	3	228.56	58.67	1.9081	1.5514	26.618	0.73	1.01	34.34	164.69	50.23	True	no
203	Aragonite	2.048	1.6148	4	245.05	58.35	2.341	2.1017	171.56	0.79	1.13	44.51	159.54	61.35	True	no
204	Aragonite	1.7408	1.4888	4	265.59	58.41	1.758	1.3944	160.43	0.41	0.89	161.33	75.74	166.17	True	no
205	Aragonite	1.3312	1.3019	4	276.62	57.85	1.827	1.9693	167.02	0.46	1.27	79.27	79.26	47.07	True	no
206	Aragonite	5.8368	2.7261	8	283.32	61.61	3.7395	1.8816	122.75	0.71	1.36	86.70	67.88	78.36	True	no
207	Aragonite	2.3552	1.7317	4	300.78	59.17	1.8286	1.115	30.422	0.49	1.01	96.96	90.10	120.59	True	no
208	Aragonite	3.072	1.9777	4	350.57	60.13	2.1253	1.1548	132.44	0.63	1.46	20.62	110.96	17.83	True	no
209	Aragonite	2.4576	1.7689	7	116.92	61.08	2.2054	1.5543	69.332	0.84	1.32	47.06	73.35	62.50	True	no
210	Aragonite	6.144	2.7969	9	176.82	62.55	2.9452	1.1088	141.62	0.74	1.53	7.23	118.25	45.70	True	no
211	Aragonite	1.3312	1.3019	3	223.23	59.77	1.5436	1.4057	135	0.53	0.70	151.06	135.14	162.50	True	no
212	Aragonite	3.072	1.9777	4	312.43	60.83	2.5216	1.6257	10.267	0.91	1.41	90.27	88.26	152.09	True	no
213	Aragonite	2.2528	1.6936	2	326.23	61.14	2.0213	1.4244	70.968	0.68	2.18	169.75	63.47	121.02	True	no
