Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
32,Aragonite,1.7298,1.4841,1,65.28,56.56,1.7571,1.4019,87.639,0.74,1.16,67.42,129.92,57.87,True,no,0.548005794890274,0.563664722781709,0.984463035683797,-0.0156589278914348
33,Aragonite,2.883,1.9159,4,72.7,58.53,2.8574,2.2242,99.687,1.57,2.15,74.53,137.62,60.05,True,no,1.05883141865627,1.04991212044892,1.00895919367257,0.00891929820734447
34,Aragonite,1.922,1.5643,3,32.95,57,1.7525,1.255,90,0.73,2.11,61.45,61.44,85.59,True,no,0.653366310548101,0.561043339926608,1.09671897289586,0.0923229706214927
35,Aragonite,2.0181,1.603,0,109.38,58.67,2.9174,3.3123,82.604,0.86,1.37,12.23,54.63,20.77,True,no,0.702156474717533,1.07069280866998,0.691746075272503,-0.368536333952443
36,Aragonite,1.5376,1.3992,4,11.38,57.38,1.8968,1.8378,4.0024,0.58,1.46,80.98,81.03,88.94,True,no,0.430222759233891,0.640168255769059,0.810628426824125,-0.209945496535168
37,Aragonite,0.961,1.1062,2,42.6,57.9,1.2927,1.3657,132.25,0.21,0.83,132.06,112.79,39.41,True,no,-0.0397808700118446,0.256733054307765,0.743405275779377,-0.296513924319609
38,Aragonite,2.0181,1.603,2,55.62,58.33,1.7282,1.1624,12.202,0.43,0.51,130.51,20.57,38.46,True,no,0.702156474717533,0.547080404425162,1.16774678856614,0.155076070292371
39,Aragonite,1.3454,1.3088,2,68.29,58.36,1.8903,2.0859,57.188,0.71,1.04,27.15,91.78,38.86,True,no,0.296691366609368,0.636735546633982,0.711738877426863,-0.340044180024614
40,Aragonite,2.4986,1.7836,4,0.62,59.62,2.0891,2.7438,93.698,0.61,0.72,27.96,85.83,92.23,True,edge,0.915730575015592,0.736733351222867,1.196017423771,0.178997223792725
41,Aragonite,1.4415,1.3548,2,23.87,59.47,1.7374,1.6446,89.809,0.35,0.81,16.81,85.9,55.59,True,no,0.36568423809632,0.552389742843683,0.829688039599401,-0.186705504747363
42,Aragonite,2.2103,1.6776,3,89.91,59.52,2.217,1.7465,122.85,0.49,1.11,65.76,143.74,79.98,True,no,0.79312825292326,0.796154930634174,0.996977898060442,-0.00302667771091488
43,Aragonite,2.1142,1.6407,2,122.77,59.09,1.6979,1.071,146.31,0.44,0.76,99.95,42.23,90.87,True,no,0.748676490352426,0.529392193339829,1.24518522881206,0.219284297012597
44,Aragonite,1.1532,1.2117,4,4.08,59.08,1.7435,2.0702,17.993,1.19,1.88,148.83,88.61,81.88,True,no,0.14254068678211,0.555894587133569,0.661428161743619,-0.413353900351459
45,Aragonite,1.922,1.5643,1,50.35,59.95,1.8692,1.4278,176.74,1.09,1.42,13.3,102.72,31.37,True,no,0.653366310548101,0.625510531844134,1.02824737855767,0.0278557787039668
46,Aragonite,2.4986,1.7836,5,9.23,61.15,2.0152,1.2765,1.9393,0.56,1.12,144.97,88.42,81.14,True,no,0.915730575015592,0.700718446056263,1.23987693529178,0.215012128959328
47,Aragonite,8.3607,3.2627,4,26.22,65.72,4.6271,2.0112,57.788,0.89,1.83,26.19,89.44,60.68,True,no,2.12354215564869,1.53193032196709,1.80689848933457,0.5916118336816
48,Aragonite,1.0571,1.1601,3,31.91,60.18,1.3674,1.3892,148.61,0.85,1.41,29.17,87.89,54.9,True,no,0.0555293097924802,0.312911126497556,0.773072985227439,-0.257381816705076
49,Aragonite,2.1142,1.6407,3,96.59,62.64,3.0451,3.4447,122.08,1.02,1.65,64.89,143.67,83.36,True,no,0.748676490352426,1.11353374134511,0.694295753834028,-0.364857250992686
50,Aragonite,1.922,1.5643,2,99.35,61.4,1.9078,1.4873,131.02,0.63,1.4,8.14,54.73,24.58,True,no,0.653366310548101,0.645950745728971,1.0074431282105,0.00741556481913016
51,Aragonite,15.184,4.3969,5,110.39,68.58,5.6871,1.673,31.215,1.8,3.63,11.45,53.78,20.52,True,no,2.72024224186757,1.73820045213349,2.66990205904591,0.98204178973408
52,Aragonite,2.4025,1.749,2,129.68,63.52,2.2422,1.6435,67.919,0.76,1.47,96.46,159.72,136.85,True,no,0.87650986186231,0.807457526737356,1.07149228436357,0.0690523351249543
53,Aragonite,0.961,1.1062,4,4.7,61.8,1.4153,1.637,161.78,0.59,1.26,28.67,83.7,94.41,True,no,-0.0397808700118446,0.347341522757656,0.679007984172967,-0.387122392769501
54,Aragonite,4.1323,2.2938,4,38.84,68.49,4.9784,4.7106,61.223,1.36,2.49,131.34,113.01,38.89,True,no,1.41883415268767,1.60510855427287,0.830045797846698,-0.186274401585199
55,Aragonite,21.142,5.1883,8,54.18,72.8,8.692,2.8066,147.53,1.44,3.29,109.48,38.25,107.85,True,no,3.05126158334647,2.16240306239418,2.43235158766682,0.888858520952288
56,Aragonite,7.4958,3.0893,5,3.08,65.67,2.4185,1.2257,30.214,0.55,1.68,1.66,159.35,110.35,True,edge,2.0143428636837,0.883147513280901,3.09935910688443,1.1311953504028
57,Aragonite,0.961,1.1062,4,77.6,64.6,1.4967,1.8309,72.123,0.78,0.85,75.91,132.09,72.49,True,no,-0.0397808700118446,0.403262684552964,0.64207924099686,-0.443043554564809
58,Aragonite,0.961,1.1062,3,88.6,64.1,1.3407,1.469,101.65,0,0,175.62,74.58,146.02,True,no,-0.0397808700118446,0.293191865625378,0.716789736704706,-0.332972735637223
59,Aragonite,1.1532,1.2117,3,120,63.17,1.6994,1.9668,24.311,0.69,0.83,80.92,161.93,59.93,True,no,0.14254068678211,0.530275247587304,0.678592444392138,-0.387734560805194
60,Aragonite,1.6337,1.4423,1,61.88,65.24,1.8761,1.6922,86.552,0.44,1.26,23.15,97.3,39.65,True,no,0.490847381050326,0.629195154067428,0.870795799797452,-0.138347773017102
61,Aragonite,7.9763,3.1868,5,68.61,67.4,3.5817,1.2632,159.24,1.45,3.1,24.24,95,37.95,True,no,2.07647464479071,1.27583754803732,2.22695926515342,0.800637096753392
62,Aragonite,6.1504,2.7984,5,93.25,67.81,3.6631,1.7135,177.22,1.52,2.93,177.64,74.2,141.25,True,no,1.81651712035378,1.29830978345134,1.6790150419044,0.518207336902443
63,Aragonite,1.1532,1.2117,4,102.17,64.42,1.5322,1.5989,20.612,0.93,1.22,14.03,53.64,21.16,True,no,0.14254068678211,0.426704611100583,0.752643258060305,-0.284163924318473
64,Aragonite,5.0933,2.5466,5,81.42,68.62,2.6355,1.0711,172.57,1.2,2.52,176.92,74.1,144.03,True,no,1.62792595054623,0.969072917313125,1.93257446404857,0.658853033233107
65,Aragonite,1.8259,1.5247,4,86.05,66.21,1.8076,1.4055,131.78,0.81,2.34,173.96,73.89,144.02,True,no,0.60207301616055,0.591999998554988,1.01012392122151,0.0100730176055626
66,Aragonite,0.961,1.1062,2,105.9,65,1.4403,1.6954,20.505,0.58,1.47,80,161.87,58.44,True,no,-0.0397808700118446,0.364851425222867,0.667222106505589,-0.404632295234712
67,Aragonite,9.2256,3.4273,6,119.06,71.06,5.9845,3.049,49.234,1.23,2.67,8.24,55.49,26.09,True,no,2.22198222846195,1.78917279333129,1.54158242125491,0.432809435130658
68,Aragonite,5.3816,2.6176,6,9.38,70.95,3.4581,1.7452,126.1,1.13,2.4,78.23,123.66,101.47,True,no,1.68298572772926,1.24071930529294,1.55623029987565,0.442266422436319
69,Aragonite,0.961,1.1062,3,11.7,67.5,1.4565,1.7339,127.53,0.84,1.64,105.18,128.13,54.35,True,no,-0.0397808700118446,0.376036297417352,0.659800892550635,-0.415817167429197
70,Aragonite,2.1142,1.6407,3,127.59,68.91,1.871,1.3005,12.264,1.47,3.04,85.64,154.52,64.02,True,no,0.748676490352426,0.626473047291953,1.12998396579369,0.122203443060473
71,Aragonite,3.5557,2.1277,1,144.86,68.24,3.4462,2.6233,159.99,1.11,1.85,109.95,161.39,147.53,True,no,1.26855194963833,1.23727217472686,1.03177412802507,0.031279774911472
72,Aragonite,3.5557,2.1277,4,75.57,70.46,2.5858,1.4769,125.49,1.18,3.68,155.65,132.12,119.36,True,no,1.26855194963833,0.950034937838316,1.37508701369015,0.318517011800018
73,Aragonite,17.394,4.706,7,127.15,76.91,6.1919,1.7312,23.477,1.79,3.87,86.41,155.42,60.91,True,no,2.85612531916757,1.82324198628621,2.80915389460424,1.03288333288136
74,Aragonite,2.1142,1.6407,3,141.32,70.27,2.6011,2.5133,169.52,0.76,1.63,52.3,80.9,46.85,True,no,0.748676490352426,0.955934432478707,0.812809965014801,-0.207257942126281
75,Aragonite,1.5376,1.3992,4,15.94,70.19,1.5832,1.2804,178.98,0.53,0.7,59.25,81.18,39.47,True,no,0.430222759233891,0.459448115306219,0.971197574532592,-0.0292253560723279
76,Aragonite,1.1532,1.2117,3,27.83,70.75,1.7129,1.9981,31.845,0.88,1.15,58.39,82.41,39.53,True,no,0.14254068678211,0.538187840521802,0.673244205732967,-0.395647153739692
77,Aragonite,1.7298,1.4841,2,3.33,72.5,2.164,2.1262,73.337,0.81,2.07,74.37,121.72,178.12,True,no,0.548005794890274,0.771958360984235,0.799353049907578,-0.223952566093961
78,Aragonite,9.8022,3.5328,9,93.59,74.74,5.2756,2.23,172.35,1.49,3.11,106.56,46.31,74.77,True,no,2.28260685027838,1.66309241696959,1.85802562741679,0.619514433308788
79,Aragonite,1.2493,1.2612,3,15.77,73.69,1.4482,1.3185,172.03,0.8,1.51,1.22,116.92,58.78,True,no,0.222583394455647,0.370321405972583,0.862657091561939,-0.147738011516937
80,Aragonite,2.883,1.9159,5,31.13,76.47,2.7434,2.0503,102.72,0.37,1.03,178.53,63.65,40.92,True,no,1.05883141865627,1.00919802706217,1.0508857621929,0.0496333915940955
81,Aragonite,0.961,1.1062,2,65.2,73.4,1.4288,1.6684,139.07,0.11,0.28,13.6,117.2,133.11,True,no,-0.0397808700118446,0.356834931140098,0.672592385218365,-0.396615801151942
82,Aragonite,3.1713,2.0094,3,139.27,75.61,2.6222,1.7028,72.173,0.91,1.87,38.99,112.95,26.73,True,no,1.15414159846059,0.964013660083164,1.20940431698574,0.190127938377426
83,Aragonite,0.961,1.1062,3,143.2,73.7,1.3799,1.5562,140.88,0.32,0.81,43.85,106.66,19.29,True,no,-0.0397808700118446,0.322011032775372,0.696427277338938,-0.361791902787216
84,Aragonite,4.6128,2.4235,5,14.56,77.98,3.3846,1.9505,26.011,0.62,1.44,139.97,94.89,125.69,True,no,1.528835047902,1.21923573099185,1.36287892217692,0.309599316910152
85,Aragonite,3.0752,1.9788,2,36.56,77.66,3.2355,2.6736,65.178,0.77,1.53,92.06,64.51,40.91,True,no,1.12336993979384,1.17418347551518,0.950455880080359,-0.0508135357213474
86,Aragonite,2.0181,1.603,1,165.48,74.62,2.2869,2.0353,161.79,0.63,0.94,98.76,162.06,136.71,True,no,0.702156474717533,0.827197188680201,0.882460973370064,-0.125040713962668
87,Aragonite,1.8259,1.5247,2,70.26,76.16,1.6783,1.2116,173.88,0.4,1.05,22.45,126.66,124.93,True,no,0.60207301616055,0.517781376331996,1.08794613597092,0.0842916398285538
88,Aragonite,2.1142,1.6407,4,77.45,75.86,2.1709,1.7507,151.7,1.45,2.24,107.34,38.67,64.38,True,no,0.748676490352426,0.775141828112573,0.973881800175043,-0.0264653377601471
89,Aragonite,2.6908,1.851,2,146.79,76.75,2.0113,1.1807,120.5,0.54,1.65,46.38,109.54,20.24,True,no,0.989838547169314,0.698781279177038,1.33784119723562,0.291057267992275
90,Aragonite,1.5376,1.3992,2,156.69,75.75,1.7246,1.5192,132.45,0.22,0.29,153.33,50.67,166.23,True,no,0.430222759233891,0.544995139536087,0.891569059492056,-0.114772380302196
91,Aragonite,2.7869,1.8837,1,21.69,77.66,2.0869,1.2274,0.19987,0.96,2.05,62.05,152.59,110.8,True,no,1.02492986698058,0.735679711278648,1.33542575111409,0.289250155701936
92,Aragonite,1.1532,1.2117,2,48.67,76.75,1.2981,1.1477,160.19,0.73,1.4,149.3,104.03,73.97,True,no,0.14254068678211,0.260901656916812,0.888375317772129,-0.118360970134702
93,Aragonite,14.511,4.2984,8,144.3,82.83,6.0586,1.9867,18.038,1.7,4.2,42.77,110.4,21.99,True,no,2.67490698250896,1.80147875028897,2.3951077806754,0.873428232219991
94,Aragonite,8.2646,3.2439,7,70.03,81.87,4.3263,1.7787,21.285,1.64,3.3,105.68,32.06,58.18,True,no,2.11198133324762,1.464712673254,1.9103159743892,0.64726865999362
95,Aragonite,2.7869,1.8837,4,86.69,79.97,3.0418,2.6076,129.27,1.01,1.84,70.01,77.29,108.31,True,no,1.02492986698058,1.11244944545613,0.916200933657703,-0.0875195784755475
96,Aragonite,1.2493,1.2612,3,104.92,77.62,1.6095,1.6286,150.33,0.72,1.61,107.01,50.23,75.63,True,no,0.222583394455647,0.475923571756726,0.776203789996894,-0.253340177301079
97,Aragonite,1.5376,1.3992,3,154.38,78.69,1.5764,1.2694,78.156,1.22,2.07,25.49,47.53,23.11,True,no,0.430222759233891,0.455143766338712,0.975386957624968,-0.0249210071048206
98,Aragonite,1.1532,1.2117,2,164.08,76.92,1.7435,2.0702,162.01,0.16,0.35,171.08,162.47,55.95,True,no,0.14254068678211,0.555894587133569,0.661428161743619,-0.413353900351459
99,Aragonite,1.7298,1.4841,3,5.89,79,1.7429,1.3792,65.561,0.79,1.11,81.27,28.78,93.4,True,no,0.548005794890274,0.555550392545499,0.992483791382179,-0.00754459765522431
100,Aragonite,4.5167,2.3981,7,85.87,82.77,4.6791,3.8072,134.83,1.35,2.32,11.84,100.27,109.84,True,no,1.50778163870417,1.54310578374375,0.965292470774294,-0.035324145039584
101,Aragonite,0.961,1.1062,2,92.6,78.5,1.1951,1.1673,111.8,0.32,0.72,163.11,77.47,45.35,True,no,-0.0397808700118446,0.178229863890698,0.804116810308761,-0.218010733902543
102,Aragonite,1.0571,1.1601,2,97.73,79.36,1.8287,2.4847,84.69,0.47,0.64,162.52,77.72,44.21,True,no,0.0555293097924802,0.60360533189845,0.578060917591732,-0.54807602210597
103,Aragonite,1.6337,1.4423,1,172.47,79.12,1.6302,1.2776,14.664,0.99,1.21,51.06,73.52,35.04,True,no,0.490847381050326,0.48870270667822,1.00214697583119,0.00214467437210576
104,Aragonite,1.5376,1.3992,4,54.5,80.38,1.712,1.4972,35.426,0.49,0.88,178.79,139.56,122.68,True,no,0.430222759233891,0.53766227771955,0.898130841121495,-0.107439518485659
105,Aragonite,7.0153,2.9887,8,78.19,85.26,4.1651,1.9422,93.11,0.99,2.25,83.3,57.66,26.09,True,no,1.9480934781425,1.42674028493442,1.68430529879235,0.521353193208079
106,Aragonite,1.2493,1.2612,4,90.38,80.23,1.6245,1.6591,124.55,1.39,3.2,12.5,100.08,110.08,True,no,0.222583394455647,0.485200076127018,0.769036626654355,-0.262616681671371
107,Aragonite,2.4986,1.7836,5,110.08,80.85,2.0032,1.2614,146.51,1.04,1.59,106.84,52.45,77.99,True,no,0.915730575015592,0.694745901923642,1.24730431309904,0.220984673091949
108,Aragonite,1.6337,1.4423,4,158.76,79.94,1.7816,1.5259,82.42,0.52,1.3,53.58,104.63,22.71,True,no,0.490847381050326,0.577511836961021,0.916984732824427,-0.0866644559106951
109,Aragonite,4.2284,2.3203,1,2.09,81.36,1.7641,1.156,168.52,1.2,2.11,107.47,6.02,139.62,True,edge,1.44182367091237,0.567640645320223,2.39691627458761,0.874183025592148
110,Aragonite,3.5557,2.1277,3,26.62,83.51,2.76,1.6826,34.705,0.5,1.19,36.61,118.54,37.6,True,no,1.26855194963833,1.01523067972906,1.28829710144928,0.253321269909276
111,Aragonite,2.0181,1.603,2,43.9,81.71,2.0057,1.5655,62.122,0.67,0.99,42.22,53.11,19.85,True,no,0.702156474717533,0.695993127009864,1.00618238021638,0.00616334770766877
112,Aragonite,1.4415,1.3548,3,50.33,80,1.8951,1.9568,11.599,0.58,0.98,42.01,79.77,33.76,True,no,0.36568423809632,0.639271607590627,0.76064587620706,-0.273587369494307
113,Aragonite,2.1142,1.6407,5,103.5,81.55,2.187,1.7768,98.627,0.87,1.38,108.06,42.76,70.5,True,no,0.748676490352426,0.782530741694631,0.966712391403749,-0.0338542513422052
114,Aragonite,1.6337,1.4423,2,165.65,80.41,2.0397,2,165.96,0.49,0.6,62.88,72.72,84.81,True,no,0.490847381050326,0.712802738218386,0.800951120262784,-0.221955357168061
115,Aragonite,4.4206,2.3724,3,176.09,82.43,2.945,1.541,15.008,2.03,3.94,133.86,112.72,163.81,True,no,1.4862754334832,1.08010881710355,1.50105263157895,0.406166616379655
116,Aragonite,2.3064,1.7137,3,18.38,82.92,2.0444,1.4232,174.66,0.43,0.7,101.47,54.07,113.77,True,no,0.835687867342055,0.715104347911987,1.12815495989043,0.120583519430068
117,Aragonite,3.4596,2.0988,4,163.06,83.33,2.4217,1.3314,164.16,1.73,2.8,26.33,45.85,32.47,True,no,1.24115297545022,0.884469772884319,1.42858322665896,0.356683202565901
118,Aragonite,2.0181,1.603,2,181.9,83.62,2.2558,1.9804,70.9,0.69,1.38,50.66,75.32,34.38,True,no,0.702156474717533,0.813504677223679,0.894627183260927,-0.111348202506147
119,Aragonite,2.2103,1.6776,4,100.35,83.61,1.8666,1.2381,103.47,0.17,0.36,47.06,144.19,34.8,True,no,0.79312825292326,0.624118594149509,1.18413157612772,0.16900965877375
120,Aragonite,7.2075,3.0293,3,125.53,86.65,3.6283,1.4345,121.35,1.42,2.72,160.44,75.03,44.47,True,no,1.97512215053042,1.28876421902168,1.98646749166276,0.686357931508744
121,Aragonite,2.0181,1.603,1,186.24,83.81,2.1306,1.7666,101.95,0.31,0.73,63.92,165.11,101.69,True,no,0.702156474717533,0.75640363019496,0.94719797240214,-0.0542471554774273
122,Aragonite,5.5738,2.664,2,3.69,86.21,3.4887,3.43,40.971,1.96,4.8,59.12,33.58,126.27,True,edge,1.71807704754053,1.24952917398497,1.59767248545303,0.468547873555559
123,Aragonite,3.7479,2.1845,4,61.38,86.21,2.6113,1.4289,94.729,1.23,2.8,66.16,113.83,14.11,True,no,1.32119568312376,0.959848181622983,1.43526212997358,0.361347501500773
124,Aragonite,1.2493,1.2612,3,82.62,83.46,1.5429,1.4965,129.27,0.8,1.74,161.91,159.25,63.95,True,no,0.222583394455647,0.433663762466843,0.809708989565105,-0.211080368011197
125,Aragonite,3.844,2.2123,7,92.63,87.85,3.6084,2.6603,88.177,0.62,1.73,46.16,144.09,33.97,True,no,1.34651349110805,1.28326446080035,1.06529209621993,0.0632490303076994
126,Aragonite,2.4986,1.7836,5,49.81,85.12,2.1711,1.4817,165.5,0.75,2.15,60.86,112.89,19.51,True,no,0.915730575015592,0.775233951558055,1.15084519368062,0.140496623457537
127,Aragonite,1.5376,1.3992,3,54.88,84.31,1.649,1.3889,1.4998,0.88,1.51,41.84,52.29,22.65,True,no,0.430222759233891,0.500169043577462,0.93244390539721,-0.0699462843435708
128,Aragonite,1.0571,1.1601,2,95.73,85.18,1.9683,2.8784,75.748,0.33,1.81,107.31,71.21,54.22,True,no,0.0555293097924802,0.677170226036804,0.53706243966875,-0.621640916244324
129,Aragonite,2.4025,1.749,5,112.64,85.12,2.0277,1.3441,42.015,0.5,1.51,104.14,47.27,76.94,True,no,0.87650986186231,0.706902145792281,1.18483996646447,0.169607716070029
130,Aragonite,4.9972,2.5224,5,158.08,87.46,2.9895,1.4046,121.7,2.12,3.15,20.32,49.61,38.52,True,no,1.60887775557554,1.09510614933882,1.67158387690249,0.513771606236715
131,Aragonite,6.4387,2.8632,6,168.31,87.33,3.8668,1.8239,26.103,1.31,2.79,20.96,36.5,160.61,True,no,1.86232665638508,1.35242729160831,1.66512361642702,0.509899364776763
132,Aragonite,1.2493,1.2612,2,45.31,86.08,1.3567,1.1571,118.76,0.37,0.8,58.92,28.09,95.35,True,no,0.222583394455647,0.305055280509126,0.920837325864229,-0.0824718860534793
133,Aragonite,1.3454,1.3088,2,117,85.86,1.74,1.7675,38.953,0.36,1.06,163.36,74.24,46.93,True,no,0.296691366609368,0.553885113226438,0.773218390804598,-0.257193746617069
134,Aragonite,36.71,6.8367,4,11.64,93.4,6.5221,1.8201,4.6364,1.13,3.56,60.53,17.76,120.44,True,edge,3.60304919750874,1.87519640996961,5.6285552199445,1.72785278753914
135,Aragonite,1.0571,1.1601,2,69.55,86.64,1.2458,1.1531,18.435,0.51,0.94,42.93,68.83,86.07,True,no,0.0555293097924802,0.219777893837908,0.848531064376304,-0.164248584045428
136,Aragonite,2.883,1.9159,5,107.37,87.77,2.1599,1.2709,104.7,0.72,1.39,44.52,71.57,75.84,True,no,1.05883141865627,0.770061924328071,1.3347840177786,0.288769494328194
137,Aragonite,1.0571,1.1601,0,192.45,87.36,1.516,1.7076,81.449,0.38,0.65,18.63,89.13,166.79,True,no,0.0555293097924802,0.41607528722018,0.697295514511873,-0.3605459774277
138,Aragonite,1.1532,1.2117,0,217.92,87.08,1.2638,1.0877,135,0,0,72.09,96.91,61.65,True,no,0.14254068678211,0.234123055357218,0.91248615287229,-0.0915823685751078
139,Aragonite,2.883,1.9159,2,25.67,89.57,3.0556,2.5435,47.895,0.36,0.84,177.46,62.63,42.13,True,no,1.05883141865627,1.11697597268507,0.943513548893834,-0.0581445540288025
140,Aragonite,3.6518,2.1563,2,40.29,90.42,2.8265,1.7183,97.87,0.58,1.43,41.92,52.79,20.78,True,no,1.2952201967205,1.03903919713321,1.29198655581107,0.256180999587287
