Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
32,Aragonite,4.6656,2.4373,1,594.25,2.44,2.0203,2.7483,99.684,0.53,0.83,40.73,91.2,122.61,True,corner,1.54021644339215,0.70324601523736,2.30935999604019,0.836970428154787
33,Aragonite,1.0206,1.1399,1,293.5,3.86,1.6871,2.1905,140.79,0.8,1.54,11.24,122.65,11.27,True,no,0.020390689647734,0.523011078629792,0.604943393989686,-0.502620388982058
34,Aragonite,9.6228,3.5003,4,439.2,8.57,4.9125,1.9697,59.653,0.79,2.24,99.73,141.16,17.04,True,no,2.26413528261885,1.59178297719538,1.95883969465649,0.672352305423467
35,Aragonite,8.0919,3.2098,7,473.26,6.15,3.3857,1.1126,24.701,2.24,4.66,52.09,117.65,111.52,True,no,2.09086356134481,1.21956067966759,2.39002274271199,0.871302881677222
36,Aragonite,1.0935,1.18,3,583.4,3.2,1.4583,1.5275,108.43,0.78,1.35,21.57,125.12,138.91,True,no,0.0893835611346854,0.377271373737382,0.749845710759103,-0.287887812602697
37,Aragonite,1.8225,1.5233,3,322.48,3.64,2.3403,2.3604,16.186,0.62,0.98,23.44,106.67,157.03,True,no,0.600209184900676,0.85027912628024,0.778746314575054,-0.250069941379564
38,Aragonite,2.5515,1.8024,2,458.86,6.37,2.3754,1.7369,86.602,0.67,1.59,52.11,71.93,18.19,True,no,0.936681421521889,0.865165844358003,1.0741348825461,0.0715155771638862
39,Aragonite,3.5721,2.1326,3,505.22,6.29,2.7316,1.6406,134.27,0.69,2.19,122.46,83.85,114.68,True,no,1.2731536581431,1.0048875181048,1.307695123737,0.268266140038305
40,Aragonite,2.3328,1.7234,5,532.41,6.78,2.5778,2.2372,125.08,0.5,1.06,87.47,122.81,119.32,True,no,0.847069262832202,0.946936321988542,0.90495771588176,-0.09986705915634
41,Aragonite,1.9683,1.5831,3,558,6.3,2.1156,1.786,42.699,0.75,1.72,168.5,12.96,49.27,True,no,0.677170226036804,0.749338460209688,0.930374361883154,-0.0721682341728835
42,Aragonite,1.6038,1.429,1,286.05,5.27,1.6705,1.3665,109.59,0.44,1.11,175.81,118.49,166.77,True,no,0.472375813390791,0.513122982814674,0.960071834780006,-0.040747169423883
43,Aragonite,0.8748,1.0554,1,289.33,5.08,1.2921,1.4989,106.44,0.71,1.75,9.76,122.62,9.8,True,no,-0.133759990179524,0.256268801746038,0.677037381007662,-0.390028791925562
44,Aragonite,2.5515,1.8024,5,336.06,6.49,2.381,1.7451,86.71,1.05,2.49,56.17,108.52,32.91,True,no,0.936681421521889,0.867520567504726,1.07160856782864,0.0691608540171635
45,Aragonite,1.3122,1.2926,3,379.83,5.17,1.6739,1.6771,113.2,0.68,1.81,168.62,165.75,100.81,True,no,0.27170511792864,0.515156233126437,0.783917796762053,-0.243451115197797
46,Aragonite,2.4057,1.7502,4,393.88,6.45,2.1335,1.4861,119.36,0.81,1.63,101.96,44.21,30.39,True,no,0.877840921498956,0.757763823645918,1.12758378251699,0.120077097853038
47,Aragonite,3.7908,2.197,7,485.88,7.52,3.2599,2.2018,132.78,1.25,2.9,76.78,72.81,145.7,True,no,1.3325770786139,1.18169652006151,1.16285775637289,0.150880558552395
48,Aragonite,1.0206,1.1399,3,490.21,5.21,1.589,1.943,96.047,0.57,1.46,47.5,32.18,37.74,True,no,0.020390689647734,0.463104887554579,0.642290748898678,-0.442714197906845
49,Aragonite,4.7385,2.4563,4,302.03,9.63,3.452,1.9751,69.697,1.6,3.25,95.31,153.15,61.89,True,no,1.55572062992811,1.23895377322118,1.37268250289687,0.316766856706931
50,Aragonite,4.6656,2.4373,6,320.84,9.5,2.9067,1.4222,90.356,1.04,2.15,15.48,41.91,47.28,True,no,1.54021644339215,1.06701841707693,1.60511920734854,0.473198026315216
