Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
32,Aragonite,3.78,2.1938,3,51.83,12.55,2.3883,1.1851,34.693,0.57,1.33,56.73,45.21,128.61,True,no,1.3297240096315,0.870581815780505,1.58271573922874,0.459142193850991
33,Aragonite,1.08,1.1726,4,143.58,12,2.2279,3.6095,90,0.53,1.52,174.58,24.7,98.43,True,no,0.0769610411361284,0.801059437754341,0.484761434534764,-0.724098396618212
34,Aragonite,5.4,2.6221,3,3.07,13.03,2.6102,1.9819,103.76,0.6,1.08,96.88,110.87,140.04,True,edge,1.68639895357023,0.95942684675129,2.06880698797027,0.726972106818939
35,Aragonite,0.99,1.1227,4,132.45,11.09,1.4283,1.6183,30.964,0.69,1.13,148.85,146.54,83.26,True,no,-0.0100503358535015,0.356484925886446,0.693131695022054,-0.366535261739947
36,Aragonite,1.44,1.3541,1,519.88,12.31,1.4083,1.0817,60.767,0.62,1.23,178.56,24.91,6.88,True,no,0.364643113587909,0.342383303221868,1.02250940850671,0.0222598103660416
37,Aragonite,5.22,2.578,5,81.16,14.93,2.7223,1.115,161.06,0.69,1.57,164.17,12.17,12.41,True,no,1.65249740189455,1.00147711123488,1.91749623480145,0.651020290659669
38,Aragonite,4.32,2.3453,4,89.88,16.02,3.7518,2.559,124.37,0.79,1.78,30.11,133.2,68.62,True,no,1.46325540225602,1.32223572481917,1.15144730529346,0.141019677436849
39,Aragonite,4.23,2.3207,3,95.45,16.36,2.5631,1.2198,116.04,0.66,1.77,156.85,81.42,136.39,True,no,1.44220199305819,0.941217463398014,1.65034528500644,0.500984529660173
40,Aragonite,7.65,3.1209,8,137.74,16.87,3.5912,1.3241,86.928,1.11,3.03,92.11,69.47,116.55,True,no,2.03470564783844,1.27848640848559,2.13020717308977,0.756219239352859
41,Aragonite,3.78,2.1938,2,0.81,16.24,2.6057,2.8214,93.828,0.45,0.8,138.62,63.15,137.13,True,edge,1.3297240096315,0.957701353119703,1.45066584794873,0.372022656511793
42,Aragonite,3.15,2.0027,8,152.34,17.11,2.7076,1.8279,49.759,1.05,1.91,172.76,28.56,96.06,True,no,1.14740245283754,0.996062633652315,1.16339193381593,0.151339819185226
43,Aragonite,8.91,3.3682,3,179.91,18.22,4.2506,1.5926,86.321,0.84,2.06,11.25,53.52,51.18,True,no,2.18717424148272,1.44706014944245,2.09617465769538,0.740114092040264
44,Aragonite,1.44,1.3541,0,451.13,14.31,1.4083,1.0817,119.23,0.32,0.64,51.12,87.78,15.06,True,no,0.364643113587909,0.342383303221868,1.02250940850671,0.0222598103660416
45,Aragonite,1.26,1.2666,0,487,14.5,1.3508,1.1373,41.437,0.46,0.66,33.65,94.32,18.94,True,no,0.231111720963387,0.300697009529276,0.932780574474386,-0.0695852885658889
46,Aragonite,1.08,1.1726,0,492.25,14.58,1.3423,1.3103,57.933,0.46,0.55,132.87,86.22,35.93,True,no,0.0769610411361284,0.294384560511453,0.804589138046636,-0.217423519375325
47,Aragonite,3.6,2.1409,4,39,18.63,3.3703,2.4781,59.052,0.78,2.88,47.03,142.8,170.29,True,no,1.28093384546206,1.21500176117367,1.06815417025191,0.0659320842883944
48,Aragonite,1.8,1.5139,3,87.8,18.2,2.5305,2.7939,99.095,0.35,0.77,156.64,81.09,136.29,True,no,0.587786664902119,0.928416911671996,0.711321873147599,-0.340630246769877
49,Aragonite,0.99,1.1227,3,151.55,16.27,2.0279,3.2626,93.058,0.42,0.78,101.5,69.14,149.86,True,no,-0.0100503358535015,0.707000774848481,0.488189752946398,-0.717051110701982
