"","Nr.","Phase","Area","d","l","Xcg","Ycg","Major","Aspect_ratio","Slope","GOS","MOS","Mean_E1","Mean_E2","Mean_E3","In_current_dataset","Border_grain","Log_Area","Log_Major","Minor","Log_Minor"
"30",30,"Aragonite",24.473,5.5821,13,643.02,53.2,7.976,2.0416,13.337,2.7,5.73,84.68,60.53,108.48,"True","no",3.19757046904086,2.07643703265954,3.06832998996991,1.12113343638133
"31",31,"Aragonite",1.1774,1.2244,2,704.57,46.57,1.4168,1.339,24.985,0.5,1.13,107.78,28.56,68.74,"True","no",0.163308617612024,0.348400807486487,0.83102766798419,-0.185092189874463
"32",32,"Aragonite",11.606,3.8441,6,715.72,47.49,4.2899,2.4908,7.9359,0.86,2.35,117.33,25.15,69.2,"True","edge",2.45152220576842,1.45626342264493,2.70542436886641,0.995258783123484
"33",33,"Aragonite",1.682,1.4634,0,342.3,48.25,1.7143,1.3722,176.19,0.79,1.37,20.94,33.29,25.37,"True","no",0.519983561550756,0.539004834031298,0.981158490345914,-0.019021272480542
"34",34,"Aragonite",3.5322,2.1207,3,587.07,49.81,2.2903,1.1664,13.679,0.73,1.7,39.57,108.86,78.12,"True","no",1.26192090628013,0.828682813352638,1.54224337423045,0.433238092927496
"35",35,"Aragonite",4.3732,2.3597,4,689.69,49.94,3.1828,1.8193,163.1,1.13,2.38,112.13,35.48,76.17,"True","no",1.47549500657819,1.15776131252124,1.37401030539148,0.31773369405695
"36",36,"Aragonite",5.2142,2.5766,3,576.42,51.45,3.9498,2.3499,8.5108,0.71,1.71,5.05,161.48,170.18,"True","no",1.65138567304186,1.37366494471975,1.3201174743025,0.277720728322108
"37",37,"Aragonite",1.3456,1.3089,3,607.31,50.38,1.6272,1.5455,70.308,0.51,1.21,16.9,59.96,167.81,"True","no",0.296840010236546,0.486860746312158,0.826941986234022,-0.190020736075612
"38",38,"Aragonite",1.2615,1.2674,3,696.6,50.07,1.3693,1.1673,74.518,0.38,0.88,108.17,27.4,70.46,"True","no",0.232301489098975,0.314299660356051,0.921273643467465,-0.0819981712570755
"39",39,"Aragonite",1.5979,1.4264,3,705.89,49.84,1.9177,1.8076,176.29,0.66,1.31,116.02,28.92,70.43,"True","no",0.468690267163206,0.651126551297333,0.833237732700631,-0.182436284134127
"40",40,"Aragonite",3.2799,2.0436,3,592.74,52.87,2.6084,1.6292,27.463,0.78,1.67,16.47,59.91,167.54,"True","no",1.18781293412641,0.95873700653691,1.25743750958442,0.229075927589502
"41",41,"Aragonite",1.2615,1.2674,3,604.33,51.93,1.8081,2.0353,90.536,0.97,1.69,101.73,101.15,27.04,"True","no",0.232301489098975,0.592276570174971,0.697693711630994,-0.359975081075996
"42",42,"Aragonite",1.9343,1.5693,2,621.3,52.04,2.1192,1.8235,30.644,0.94,1.13,124.67,14.52,67.31,"True","no",0.659745503925915,0.751038658975723,0.912750094375236,-0.091293155049808
"43",43,"Aragonite",7.8213,3.1557,6,661.51,52.7,4.3867,1.9324,18.916,1.07,2.26,154.52,70.68,80.92,"True","no",2.05685078115002,1.47857723598439,1.78295757631021,0.578273545165636
"44",44,"Aragonite",3.2799,2.0436,4,683.82,52.51,3.2221,2.486,147.39,0.66,1.26,170.7,76.61,32.4,"True","no",1.18781293412641,1.17003332089637,1.01793861146457,0.0177796132300397
"45",45,"Aragonite",4.3732,2.3597,2,720.35,50.88,2.067,1.5346,27.557,0.69,1.44,76.54,59.63,120.06,"True","edge",1.47549500657819,0.726098280699631,2.11572327044025,0.749396725878561
"46",46,"Aragonite",6.2234,2.8149,2,678.22,55.15,4.1653,2.1896,155.05,0.79,2.07,111.32,27.03,68.12,"True","no",1.82831638120094,1.42678830183638,1.49410606678991,0.401528079364555
"47",47,"Aragonite",5.9711,2.7573,5,567.18,55.92,2.9938,1.1789,60.446,0.94,1.89,21.02,35.4,168.58,"True","no",1.78693116503808,1.096543483499,1.99448860979357,0.690387681539082
"48",48,"Aragonite",1.1774,1.2244,3,703.64,52.36,1.8304,2.235,3.5065,0.35,1.13,112.66,26.57,73.49,"True","no",0.163308617612024,0.604534522203342,0.643247377622378,-0.441225904591318
"49",49,"Aragonite",4.3732,2.3597,8,710.67,54.1,3.3536,2.0199,3.4144,0.92,2.77,21.79,58.58,150.56,"True","no",1.47549500657819,1.21003439570453,1.30403148854962,0.265460610873661
"50",50,"Aragonite",0.841,1.0348,3,716.4,52.8,1.4259,1.8987,94.065,0.34,1.03,10.18,65.32,158.65,"True","no",-0.173163619009189,0.354803193305936,0.589802931481871,-0.527966812315125
"51",51,"Aragonite",2.9435,1.9359,3,557.54,54.8,2.9319,2.2937,23.053,0.65,1.36,71.64,67.3,108.35,"True","no",1.07959934948618,1.07565067703076,1.00395647873393,0.00394867245541606
"52",52,"Aragonite",7.0644,2.9991,8,598.69,57.43,4.1607,1.9247,31.094,1.55,3.55,128.74,12.57,65.3,"True","no",1.95506808684008,1.42568332934826,1.6978873747206,0.529384757491817
"53",53,"Aragonite",0.9251,1.0853,3,609.27,53.09,1.5447,2.0258,24.337,0.67,0.92,100.69,100.5,27.23,"True","no",-0.0778534392048641,0.434829716738068,0.598886515180941,-0.512683155942932
"54",54,"Aragonite",6.0552,2.7766,7,614.81,58.33,3.9641,2.0382,149.07,1.65,3.16,127.69,12.67,64.83,"True","no",1.80091740701282,1.37727884319294,1.52750939683661,0.423638563819885
"55",55,"Aragonite",1.0933,1.1798,3,689.54,55.15,1.4243,1.4572,64.198,0.43,0.9,107.35,33.34,74.26,"True","no",0.089200645458302,0.353680464958403,0.767605139366706,-0.264479819500101
