Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
1	Aragonite	1.9414	1.5722	3	2.95	1.48	1.3003	1.3681	178.85	0.54	1.31	79.86	85.72	40.11	True	edge
2	Aragonite	2.4037	1.7494	4	8.58	2.54	1.6577	1.7958	118.08	0.66	1.67	154.94	147.81	90.64	True	edge
3	Aragonite	11.186	3.774	4	22.60	3.80	3.755	1.9799	162.78	1.50	3.35	40.64	60.35	36.31	True	edge
4	Aragonite	1.4792	1.3724	1	35.19	1.00	1.3588	1.9605	180	0.76	1.13	34.82	156.68	87.47	True	edge
5	Aragonite	6.564	2.8909	2	45.46	3.72	2.696	1.7393	136.34	0.78	1.70	145.54	62.69	149.26	True	edge
6	Aragonite	1.7565	1.4955	3	53.32	2.05	1.295	1.4997	92.761	0.82	1.39	132.21	151.24	75.56	True	edge
7	Aragonite	13.59	4.1597	3	67.76	5.22	4.2067	2.0454	152.66	0.79	2.03	174.68	57.98	136.00	True	edge
8	Aragonite	7.396	3.0687	3	80.82	2.72	3.3493	2.3825	170.88	1.31	3.15	40.95	158.20	95.01	True	edge
9	Aragonite	2.3112	1.7155	2	89.92	1.08	1.7839	2.1629	177.47	0.75	2.09	99.13	159.65	140.11	True	edge
10	Aragonite	14.515	4.2989	7	95.73	6.57	4.2535	1.958	18.11	0.90	2.32	0.63	137.98	53.99	True	edge
11	Aragonite	15.532	4.447	7	114.51	9.03	4.7188	2.252	140.07	1.40	3.71	85.49	139.15	122.90	True	edge
12	Aragonite	1.2943	1.2837	2	111.29	1.00	1.1509	1.6074	161.06	0.52	0.71	179.49	41.48	129.33	True	edge
13	Aragonite	3.698	2.1699	3	116.68	2.33	1.7668	1.3259	16.267	0.61	1.29	101.04	134.79	133.83	True	edge
14	Aragonite	11.741	3.8664	4	125.09	7.74	3.6947	1.8263	99.567	1.46	3.47	135.47	92.01	148.29	True	edge
15	Aragonite	21.726	5.2595	9	134.48	16.09	6.2109	2.789	109.96	1.39	2.97	88.53	142.54	124.84	True	edge
16	Aragonite	1.017	1.1379	1	141.91	0.73	1.0975	1.8604	4.903	0.56	1.22	144.29	98.37	147.64	True	edge
17	Aragonite	2.2188	1.6808	3	144.63	2.79	1.4109	1.4093	35.049	1.20	1.75	89.61	144.59	114.76	True	edge
18	Aragonite	4.3451	2.3521	2	153.02	2.53	1.8107	1.1853	167.78	0.95	1.75	77.12	148.32	124.99	True	edge
19	Aragonite	2.5886	1.8155	4	160.54	2.18	1.5174	1.3972	138.25	0.59	1.50	151.62	49.47	146.98	True	edge
20	Aragonite	7.1186	3.0106	4	168.27	3.29	2.4991	1.3782	169.75	0.60	1.53	78.74	149.77	124.52	True	edge
21	Aragonite	9.6148	3.4988	6	185.25	4.84	4.122	2.7758	147.52	0.92	2.48	134.88	65.09	149.09	True	edge
22	Aragonite	1.1094	1.1885	2	193.42	1.17	0.88707	1.1142	149.09	0.67	1.28	152.34	48.98	145.44	True	edge
23	Aragonite	1.849	1.5343	3	197.30	2.50	1.1925	1.208	124.1	0.56	1.13	121.10	105.99	153.17	True	edge
24	Aragonite	1.1094	1.1885	1	207.75	1.42	0.96198	1.3103	57.933	0.20	0.80	49.54	153.37	102.34	True	edge
25	Aragonite	2.4962	1.7827	2	218.96	2.07	1.4438	1.3118	2.9628	0.90	1.28	96.13	117.37	109.55	True	edge
26	Aragonite	2.9584	1.9408	2	238.69	1.84	1.8405	1.7987	160.94	0.73	1.19	139.91	83.88	135.08	True	edge
27	Aragonite	2.4962	1.7827	1	249.93	3.19	1.9117	2.2999	127.02	0.54	1.06	125.15	86.09	152.84	True	edge
28	Aragonite	1.2019	1.237	1	257.00	0.85	1.1375	1.6912	94.764	0.52	0.97	149.34	58.03	139.53	True	edge
29	Aragonite	3.698	2.1699	4	260.85	3.92	2.1485	1.9608	75.327	0.93	2.04	105.76	104.36	143.69	True	edge
30	Aragonite	1.2019	1.237	2	264.85	1.92	1.1774	1.8119	86.186	0.44	1.32	92.10	100.87	144.83	True	edge
31	Aragonite	2.0339	1.6092	2	268.27	2.68	1.426	1.5705	97.546	0.65	0.91	91.52	105.55	142.14	True	edge
32	Aragonite	1.1094	1.1885	0	282.17	1.92	0.94976	1.2772	138.38	0.82	0.97	110.43	57.12	141.23	True	edge
33	Aragonite	1.2019	1.237	1	322.08	2.31	1.0996	1.5804	79.357	0.86	1.40	78.08	58.44	132.61	True	edge
34	Aragonite	1.5717	1.4146	2	324.71	3.29	1.5649	2.4477	96.988	0.67	0.69	87.55	49.31	124.11	True	edge
35	Aragonite	1.2019	1.237	1	328.31	0.92	1.1427	1.7066	161.26	0.73	0.99	76.51	56.45	129.90	True	edge
36	Aragonite	4.8998	2.4977	2	350.32	3.57	2.2917	1.6836	130.2	0.92	2.45	156.69	35.71	102.99	True	edge
37	Aragonite	24.684	5.6061	11	380.34	8.99	4.3013	1.1774	170.17	1.03	2.38	129.97	37.46	76.72	True	edge
38	Aragonite	3.7905	2.1969	3	392.54	1.93	2.0028	1.6623	178.19	0.90	1.85	133.00	72.13	48.70	True	edge
39	Aragonite	5.9168	2.7447	5	400.48	4.72	2.3652	1.4852	161.71	0.83	1.88	39.00	37.43	92.39	True	edge
