Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
1	Aragonite	13.32	4.1182	8	18.80	9.81	5.476	3.5362	90.969	1.09	3.16	98.02	161.58	30.30	True	edge
2	Aragonite	3.6709	2.1619	5	26.66	3.74	2.2433	2.1535	87.786	0.90	2.22	65.67	100.08	11.08	True	edge
3	Aragonite	1.2586	1.2659	2	32.08	0.92	1.2879	2.0702	162.01	0.34	0.87	153.31	130.42	75.58	True	edge
4	Aragonite	29.157	6.093	7	43.51	18.14	6.958	2.6082	74.11	1.60	3.40	35.70	63.05	57.52	True	edge
5	Aragonite	1.1537	1.212	2	50.73	2.27	1.1101	1.6779	99.992	0.85	1.15	37.29	63.27	55.95	True	edge
6	Aragonite	10.488	3.6543	5	53.46	11.47	5.0632	3.8395	87.289	0.76	2.52	56.16	43.38	84.34	True	edge
7	Aragonite	2.0976	1.6343	2	57.00	1.95	1.3416	1.3478	101.44	0.51	1.12	166.51	121.64	46.59	True	edge
8	Aragonite	10.278	3.6176	4	62.38	6.39	3.6743	2.0632	82.331	0.78	2.55	128.66	108.68	11.69	True	edge
9	Aragonite	8.1808	3.2274	4	69.17	7.95	3.7851	2.7509	99.256	0.62	1.43	46.70	48.55	76.33	True	edge
10	Aragonite	3.8806	2.2228	2	73.22	2.35	1.6136	1.0539	65.154	0.85	1.41	110.20	49.29	18.19	True	edge
11	Aragonite	2.4123	1.7525	1	81.00	2.91	1.7577	2.0119	93.465	0.47	1.14	110.10	34.70	19.29	True	edge
12	Aragonite	4.0904	2.2821	1	86.59	2.56	1.97	1.4903	130.23	1.07	2.06	137.82	150.21	19.76	True	edge
13	Aragonite	9.5443	3.486	4	160.57	9.01	5.1897	4.4327	91.362	0.89	2.48	96.15	113.36	9.13	True	edge
14	Aragonite	8.6003	3.3091	3	165.18	8.66	4.6198	3.898	87.367	1.29	2.78	103.46	113.52	13.42	True	edge
15	Aragonite	35.765	6.7481	9	172.28	18.77	8.7724	3.3798	84.588	1.16	2.78	70.47	74.89	5.89	True	edge
16	Aragonite	6.188	2.8069	3	180.51	6.54	3.4119	2.9551	90.286	0.92	1.94	75.46	66.75	72.97	True	edge
17	Aragonite	4.405	2.3683	2	185.14	5.38	2.4253	2.0975	87.848	0.60	1.35	101.32	118.94	55.10	True	edge
18	Aragonite	9.8589	3.543	2	201.70	5.83	3.38	1.8202	69.904	1.14	2.09	115.64	134.88	63.27	True	edge
19	Aragonite	5.349	2.6097	2	218.14	4.18	2.3231	1.5848	92.416	0.90	2.81	140.54	82.68	115.57	True	edge
20	Aragonite	1.3635	1.3176	1	222.54	1.85	1.1417	1.5017	138.1	0.38	0.42	137.68	77.57	109.45	True	edge
21	Aragonite	14.054	4.2302	4	234.08	9.44	5.0214	2.8182	99.247	0.71	1.32	113.28	167.72	56.23	True	edge
22	Aragonite	1.3635	1.3176	1	237.46	2.08	1.3818	2.1996	128.07	0.40	0.64	25.68	72.91	32.64	True	edge
23	Aragonite	5.2441	2.584	0	280.08	3.76	2.1252	1.3528	97.235	0.62	1.39	48.68	64.44	166.08	True	edge
