Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain
3088	Aragonit	0.72	0.95746	4	556.68	633.72	1.4939	2.4345	81.179	0.57	1.45	83.28	164.76	100.04	True	no
3089	Aragonit	0.2016	0.50664	3	702.64	630.00	0.65356	1.6641	118.94	0.32	0.88	118.12	147.76	162.90	True	no
3090	Aragonit	0.2592	0.57448	2	767.83	630.39	0.63087	1.206	117.63	0.29	1.34	103.10	122.59	45.04	True	no
3091	Aragonit	1.1808	1.2261	2	809.94	633.20	1.3712	1.2506	66.21	0.51	1.23	103.59	124.33	51.16	True	no
3092	Aragonit	3.2112	2.022	7	699.00	636.90	2.5401	1.5781	175.04	0.90	2.64	126.79	148.94	127.21	True	no
3093	Aragonit	1.3824	1.3267	9	737.95	636.59	2.468	3.4607	126.8	1.04	2.66	137.71	147.01	118.17	True	no
3094	Aragonit	0.72	0.95746	2	762.10	633.62	1.0369	1.1728	115.25	0.68	1.85	146.69	153.55	124.49	True	no
3095	Aragonit	0.144	0.42819	2	857.30	630.20	0.44257	1.0683	33.69	0.32	1.61	105.97	131.03	166.25	True	no
3096	Aragonit	0.144	0.42819	2	925.20	630.50	0.50106	1.3693	90	0.22	0.59	104.31	146.94	46.72	True	no
3097	Aragonit	0.5616	0.84561	2	443.46	634.10	1.2195	2.0799	122.72	0.51	1.23	171.37	151.50	142.32	True	no
3098	Aragonit	0.504	0.80107	2	497.51	634.11	0.93852	1.3726	69.603	0.50	1.17	165.52	159.14	55.87	True	no
3099	Aragonit	0.2736	0.59022	3	511.42	631.47	0.816	1.9114	161.03	0.94	1.33	7.19	19.05	12.03	True	no
3100	Aragonit	2.52	1.7912	6	562.87	643.17	2.9871	2.781	97.467	0.63	1.35	96.17	163.22	113.20	True	no
3101	Aragonit	0.7056	0.94784	2	571.51	636.76	1.6812	3.146	104.79	0.33	1.36	88.24	164.03	157.91	True	no
3102	Aragonit	0.2592	0.57448	2	573.72	632.50	0.73353	1.6304	105.54	0.81	1.43	96.15	160.74	114.75	True	no
3103	Aragonit	0.2592	0.57448	3	771.39	632.28	0.69099	1.4467	77.764	0.17	0.38	103.56	123.44	167.88	True	no
3104	Aragonit	8.496	3.289	10	547.62	650.19	4.5554	1.9184	96.765	0.73	2.06	21.03	14.85	95.71	True	no
3105	Aragonit	2.6784	1.8467	9	677.34	641.71	2.6731	2.0953	63.419	1.01	2.55	106.60	173.81	38.57	True	no
3106	Aragonit	0.144	0.42819	3	724.40	631.90	0.57096	1.7781	9.3078	0.28	0.70	123.45	150.09	103.66	True	no
3107	Aragonit	0.6624	0.91836	6	728.76	636.63	1.4076	2.3491	100.11	0.66	1.13	135.39	148.69	39.02	True	no
3108	Aragonit	0.7488	0.97642	4	922.69	635.56	1.1983	1.506	104.87	0.59	1.16	105.32	131.02	39.32	True	no
3109	Aragonit	1.1808	1.2261	5	622.98	641.11	2.135	3.0319	96.451	0.62	1.68	122.00	166.25	13.63	True	no
3110	Aragonit	0.8208	1.0223	4	685.89	637.32	1.5164	2.2003	88.077	0.45	1.44	90.75	175.87	34.19	True	no
3111	Aragonit	0.216	0.52442	2	731.60	634.40	0.78947	2.2663	112.97	0.65	1.58	136.85	146.14	0.99	True	no
3112	Aragonit	2.4768	1.7758	5	911.59	637.96	2.0811	1.3734	1.1218	1.03	2.56	104.98	129.92	100.21	True	no
3113	Aragonit	0.144	0.42819	2	722.50	634.20	0.50106	1.3693	180	0.18	0.92	124.62	149.19	167.82	True	no
3114	Aragonit	0.3888	0.70359	2	511.22	637.41	0.96203	1.8696	86.117	0.55	1.18	1.76	20.35	67.51	True	no
3115	Aragonit	0.2016	0.50664	4	535.79	637.00	0.66903	1.7438	77.804	0.60	1.06	15.07	14.85	48.13	True	no
3116	Aragonit	0.6192	0.88791	5	717.67	639.12	1.1056	1.5503	95.908	0.49	1.31	138.14	142.81	168.50	True	no
3117	Aragonit	7.488	3.0877	4	1005.62	649.21	3.0668	1.973	80.65	0.67	1.77	80.34	149.36	77.54	True	edge
3118	Aragonit	0.3024	0.62051	4	619.05	639.33	1.007	2.6335	87.484	0.63	1.49	123.84	166.47	131.89	True	no
3119	Aragonit	0.2592	0.57448	3	723.56	637.39	0.74585	1.6856	163.06	0.55	1.01	129.97	147.68	172.93	True	no
3120	Aragonit	0.4752	0.77785	4	502.24	640.55	0.96013	1.5236	109.09	0.45	1.37	177.02	156.82	65.99	True	no
3121	Aragonit	2.8368	1.9005	6	517.27	645.76	2.1231	1.2479	72.001	0.71	1.96	10.34	20.11	8.39	True	no
3122	Aragonit	0.2304	0.54162	1	585.38	639.25	0.58366	1.1612	75.128	0.64	0.83	84.37	163.93	156.29	True	no
3123	Aragonit	0.1584	0.44909	2	713.64	638.36	0.55047	1.5025	59.714	0.28	0.58	127.62	145.70	171.58	True	no
3124	Aragonit	1.0944	1.1804	4	756.92	643.20	1.6005	1.8382	61.151	0.78	1.67	145.68	144.87	109.55	True	no
3125	Aragonit	0.288	0.60555	2	826.50	639.30	0.76193	1.5832	78.097	0.70	1.38	107.50	132.14	103.97	True	no
3126	Aragonit	0.7056	0.94784	4	496.82	642.12	1.1252	1.4092	105.02	0.51	0.98	175.70	156.98	1.41	True	no
3127	Aragonit	1.2096	1.241	5	530.89	643.42	1.3866	1.2484	90.159	0.66	1.31	10.61	20.51	122.81	True	no
3128	Aragonit	0.792	1.0042	4	617.42	645.49	1.5409	2.3545	106.08	0.56	1.79	85.41	165.79	166.95	True	no
3129	Aragonit	0.144	0.42819	1	672.40	640.20	0.59001	1.8987	85.935	0.48	1.21	70.58	172.59	13.16	True	no
3130	Aragonit	2.1456	1.6528	6	760.21	650.18	2.7719	2.8124	62.02	0.70	1.66	151.44	145.28	125.48	True	no
3131	Aragonit	0.36	0.67703	4	713.40	643.48	0.96037	2.0122	106.31	0.67	1.04	127.73	146.09	43.88	True	no
3132	Aragonit	0.4752	0.77785	4	726.82	644.45	0.99389	1.6326	111.81	0.69	1.45	135.21	143.84	51.15	True	no
3133	Aragonit	0.3888	0.70359	3	735.93	643.70	1.0728	2.3249	104.59	0.54	1.53	137.80	145.06	65.69	True	no
3134	Aragonit	0.1584	0.44909	2	923.55	641.18	0.50018	1.2405	37.69	0.27	0.95	105.40	148.79	122.28	True	no
3135	Aragonit	4.5216	2.3994	12	685.50	655.91	3.5018	2.13	78.483	1.12	3.04	125.85	172.83	68.43	True	no
3136	Aragonit	0.6624	0.91836	4	861.76	644.13	0.98752	1.1563	168.06	0.67	1.33	107.23	128.70	106.99	True	no
3137	Aragonit	0.1872	0.48821	2	505.92	643.85	0.56386	1.3339	73.764	0.33	1.18	174.57	156.50	0.37	True	no
3138	Aragonit	0.7056	0.94784	5	696.04	646.41	1.1619	1.5028	93.467	0.55	1.36	118.28	137.50	162.38	True	no
3139	Aragonit	3.2544	2.0356	9	705.32	652.65	2.5454	1.5636	64.718	0.59	1.66	126.18	144.59	169.73	True	no
3140	Aragonit	0.1728	0.46906	3	730.25	643.92	0.63794	1.8497	94.837	1.02	1.72	136.31	146.34	176.15	True	no
3141	Aragonit	2.1312	1.6473	8	736.57	655.39	2.8437	2.9802	111.06	0.88	2.17	137.21	147.49	114.77	True	no
3142	Aragonit	0.2304	0.54162	2	739.69	644.44	0.73468	1.8399	115.21	0.38	1.12	142.78	145.47	69.77	True	no
3143	Aragonit	0.216	0.52442	4	746.13	644.00	0.58281	1.2351	90	0.14	0.40	145.37	144.64	56.96	True	no
3144	Aragonit	4.7952	2.4709	8	926.78	654.11	3.7041	2.2472	121.8	0.95	2.57	105.36	147.85	174.33	True	no
3145	Aragonit	0.1728	0.46906	3	668.83	644.42	0.49636	1.1198	3.4556	0.52	0.75	66.29	171.91	9.05	True	no
3146	Aragonit	0.432	0.74165	3	772.50	645.30	1.0612	2.0474	159.3	0.63	0.90	100.02	128.90	152.12	True	no
3147	Aragonit	0.7632	0.98577	4	885.92	645.89	1.4266	2.0943	5.2587	0.67	1.16	103.71	129.19	100.55	True	no
3148	Aragonit	0.36	0.67703	4	501.24	646.76	0.74763	1.2195	173.14	0.53	1.06	178.65	159.56	57.14	True	no
3149	Aragonit	0.8208	1.0223	5	717.93	648.61	1.1973	1.3717	79.539	0.49	1.53	141.08	134.72	119.53	True	no
3150	Aragonit	0.8352	1.0312	7	749.93	649.16	1.2481	1.4649	99.053	0.89	1.79	145.82	145.10	173.35	True	no
3151	Aragonit	0.36	0.67703	3	894.12	646.52	0.84589	1.561	130.19	0.51	1.26	127.55	105.83	63.52	True	no
3152	Aragonit	0.144	0.42819	2	933.00	647.20	0.66823	2.4354	115.67	0.25	0.54	106.52	130.20	39.31	True	no
